Parameter,Function,Test Case,cyclomatic_complexity
(long x),"public class HashLongToIntRevised {
public static int hashLongToIntRevised(long x) {
        /*
            This is actually what done in the Java API to
            calculate Long.hashCode().

            All bits of the inputs are used to calculate the hash.

            x >>> 32 does shift all the bits in x by 32 positions to the right.
            Once that is executed, the results will have the 32 leftmost bits
            into the 32 rightmost (which are now discarded).

            With the exclusive OR operation (^), we compare each bit between
            ""x"" and ""x >>> 32"", and create a new value based on whether they
            disagree on the 1s (only one of the two values has a 1).

            Recall that the (int) will ignore the 32 leftmost bits.
            So, the resulting integer from the 32 bits is based on a XOR
            between the first and last 32 bits of the original input.

            Why using a XOR? reason is, given any input value x, if we just
            change one single bit, then necessarily we will end up with
            a different hash value.
            Changing 2 or more bits might result in same hash though.
         */
        return (int) (x ^ (x >>> 32));
    }
}","@Test
    public void testHashLongToIntRevised(){

        long x = 0b0001_0000_0000_0000_0000_0000_0000_0000_____0000_0000_0000_0000_0000_0000_0000_0000L;
        long w = 0b0001_0000_0000_0000_0000_0000_0000_0000_____0000_0000_0000_0000_0000_0000_0001_0000L;
        long z = 0b0001_0001_0000_0000_0000_0000_0000_0000_____0000_0000_0000_0000_0000_0000_0000_0000L;

        assertNotEquals(HashFunctions.hashLongToInt(x),
                HashFunctions.hashLongToInt(w));
        //collision, as bit difference on left side
        assertEquals(HashFunctions.hashLongToInt(x),
                HashFunctions.hashLongToInt(z));

        //revised
        assertNotEquals(HashFunctions.hashLongToIntRevised(x),
                HashFunctions.hashLongToIntRevised(w));
        //no collision
        assertNotEquals(HashFunctions.hashLongToIntRevised(x),
                HashFunctions.hashLongToIntRevised(z));
    }",1
"(long countA, double countPerSecA, long countB, double countPerSecB)","public class CalculatePerSecond {
public static double calculatePerSecond(long countA, double countPerSecA, long countB, double countPerSecB) {
        double totalCount = countA + countB;
        double totalTime = ((double)countA / countPerSecA) + ((double)countB / countPerSecB);
        return totalCount / totalTime;
    }
}","@Test
    public void testCountPerSecondCalculation() {
        Assert.assertEquals(7.5d, BluefloodTimerRollup.calculatePerSecond(150, 5d, 300, 10d));
    }",1
"(double latitude1, double longitude1, double latitude2, double longitude2)","public class ComputeDistance {
public static float computeDistance(double latitude1, double longitude1, double latitude2, double longitude2) {
		// Based on http://www.ngs.noaa.gov/PUBS_LIB/inverse.pdf
		// using the ""Inverse Formula"" (section 4)

		int MAXITERS = 20;
		// Convert lat/long to radians
		double lat1 = latitude1 * (Math.PI / 180.0);
		double lat2 = latitude2 * (Math.PI / 180.0);
		double lon1 = longitude1 * (Math.PI / 180.0);
		double lon2 = longitude2 * (Math.PI / 180.0);

		double a = 6378137.0; // WGS84 major axis
		double b = 6356752.3142; // WGS84 semi-major axis
		double f = (a - b) / a;
		double aSqMinusBSqOverBSq = (a * a - b * b) / (b * b);

		double L = lon2 - lon1;
		double A = 0.0;
		double U1 = Math.atan((1.0 - f) * Math.tan(lat1));
		double U2 = Math.atan((1.0 - f) * Math.tan(lat2));

		double cosU1 = Math.cos(U1);
		double cosU2 = Math.cos(U2);
		double sinU1 = Math.sin(U1);
		double sinU2 = Math.sin(U2);
		double cosU1cosU2 = cosU1 * cosU2;
		double sinU1sinU2 = sinU1 * sinU2;

		double sigma = 0.0;
		double deltaSigma = 0.0;
		double cosSqAlpha;
		double cos2SM;
		double cosSigma;
		double sinSigma;
		double cosLambda;
		double sinLambda;

		double lambda = L; // initial guess
		for (int iter = 0; iter < MAXITERS; iter++) {
			double lambdaOrig = lambda;
			cosLambda = Math.cos(lambda);
			sinLambda = Math.sin(lambda);
			double t1 = cosU2 * sinLambda;
			double t2 = cosU1 * sinU2 - sinU1 * cosU2 * cosLambda;
			double sinSqSigma = t1 * t1 + t2 * t2; // (14)
			sinSigma = Math.sqrt(sinSqSigma);
			cosSigma = sinU1sinU2 + cosU1cosU2 * cosLambda; // (15)
			sigma = Math.atan2(sinSigma, cosSigma); // (16)
			double sinAlpha = (sinSigma == 0) ? 0.0 : cosU1cosU2 * sinLambda / sinSigma; // (17)
			cosSqAlpha = 1.0 - sinAlpha * sinAlpha;
			cos2SM = (cosSqAlpha == 0) ? 0.0 : cosSigma - 2.0 * sinU1sinU2 / cosSqAlpha; // (18)

			double uSquared = cosSqAlpha * aSqMinusBSqOverBSq; // defn
			A = 1 + (uSquared / 16384.0) * (4096.0 + uSquared * (-768 + uSquared * (320.0 - 175.0 * uSquared)));
			double B = (uSquared / 1024.0) * (256.0 + uSquared * (-128.0 + uSquared * (74.0 - 47.0 * uSquared)));
			double C = (f / 16.0) * cosSqAlpha * (4.0 + f * (4.0 - 3.0 * cosSqAlpha)); // (10)
			double cos2SMSq = cos2SM * cos2SM;
			deltaSigma = B * sinSigma * (cos2SM + (B / 4.0) * (cosSigma * (-1.0 + 2.0 * cos2SMSq) - (B / 6.0) * cos2SM * (-3.0 + 4.0 * sinSigma * sinSigma) * (-3.0 + 4.0 * cos2SMSq)));

			lambda = L + (1.0 - C) * f * sinAlpha * (sigma + C * sinSigma * (cos2SM + C * cosSigma * (-1.0 + 2.0 * cos2SM * cos2SM))); // (11)

			double delta = (lambda - lambdaOrig) / lambda;

			if (Math.abs(delta) < 1.0e-12) {
				break;
			}
		}

		return (float) (b * A * (sigma - deltaSigma));
	}
}","@Test
	public void calculateDistance() {
		double lat1 = 53.1;
		double lon1 = -7.5;
		double lat2 = 53.2;
		double lon2 = -7.4;

		float distance = Utilities.computeDistance(lat1, lon1, lat2, lon2);
		assertEquals(12985, distance, 1);
	}",3
(int i),"public class IntToBytes {
public static byte[] intToBytes(int i) {
    return new byte[]{(byte) ((i >> 24) & 0xFF), (byte) ((i >> 16) & 0xFF),
        (byte) ((i >> 8) & 0xFF),
        (byte) (i & 0xFF)};
  }
}","@Test
  public void testIntToBytes() {
    int b = 123;
    byte[] bb = BytesUtils.intToBytes(b);
    int bf = BytesUtils.bytesToInt(bb);
    assertEquals(""testBytesToFloat"", b, bf);
  }",1
(boolean x),"public class BoolToBytes {
public static byte[] boolToBytes(boolean x) {
    byte[] b = new byte[1];
    if (x) {
      b[0] = 1;
    } else {
      b[0] = 0;
    }
    return b;
  }
}","@Test
  public void testBoolToBytes() throws Exception {
    boolean b = true;
    byte[] bb = BytesUtils.boolToBytes(b);
    boolean bf = BytesUtils.bytesToBool(bb);
    assertEquals(""testBoolToBytes"", b, bf);
  }",2
(double data),"public class DoubleToBytes {
public static byte[] doubleToBytes(double data) {
    byte[] bytes = new byte[8];
    long value = Double.doubleToLongBits(data);
    for (int i = 7; i >= 0; i--) {
      bytes[i] = new Long(value).byteValue();
      value = value >> 8;
    }
    return bytes;
  }
}","@Test
  public void testDoubleToBytes() {
    double b1 = 2745687.1253123d;
    byte[] ret = BytesUtils.doubleToBytes(b1);
    double rb1 = BytesUtils.bytesToDouble(ret);
    assertEquals(b1, rb1, CommonTestConstant.float_min_delta);
  }",2
"(byte data, int offset)","public class GetByteN {
public static int getByteN(byte data, int offset) {
    offset %= 8;
    if ((data & (1 << (7 - offset))) != 0) {
      return 1;
    } else {
      return 0;
    }
  }
}","@Test
  public void testGetByteN() {
    byte src = 120;
    byte dest = 0;
    for (int i = 0; i < 64; i++) {
      int a = BytesUtils.getByteN(src, i);
      dest = BytesUtils.setByteN(dest, i, a);
    }
    assertEquals(src, dest);
  }",2
"(int data, int offset)","public class GetIntN {
public static int getIntN(int data, int offset) {
    offset %= 32;
    if ((data & (1 << (offset))) != 0) {
      return 1;
    } else {
      return 0;
    }
  }
}","@Test
  public void testGetIntN() {
    int src = 54243342;
    int dest = 0;
    for (int i = 0; i < 32; i++) {
      int a = BytesUtils.getIntN(src, i);
      dest = BytesUtils.setIntN(dest, i, a);
    }
    assertEquals(src, dest);
  }",2
"(long data, int offset)","public class GetLongN {
public static int getLongN(long data, int offset) {
    offset %= 64;
    if ((data & (1L << (offset))) != 0) {
      return 1;
    } else {
      return 0;
    }
  }
}","@Test
  public void testGetLongN() {
    long src = (long) Math.pow(2, 33);
    long dest = 0;
    for (int i = 0; i < 64; i++) {
      int a = BytesUtils.getLongN(src, i);
      dest = BytesUtils.setLongN(dest, i, a);
    }
    assertEquals(src, dest);
  }",2
(long num),"public class IntLog2 {
public static int intLog2(long num) {
        long l = Double.doubleToRawLongBits(num);
        return (int) ((l >> 52) - 1023);
    }
}","@Test
    public void testIntLog2() {
        for (int i = 0; i < 63; i++) {
            long l = 1L << i;
            assertEquals(i, Maths.intLog2(l));
        }
    }",1
