Unnamed: 0.1,Function,cyclomatic_complexity,javadoc_length,tokens,LOC,Unnamed: 0,doc_bin,loc_bin,group,class_name,valid_jqf,failure_jqf,JQF_Time_valid,JQF_Time_failure
148,"public class DECODEHEXDIGIT {
/**
     * Convert a character that represents a hexidecimal digit into an integer.
     * If the character is not a hexidecimal digit, then -1 is returned.
     * Both upper case and lower case hex digits are allowed.
     * @param c the hexidecimal digit.
     * @return the integer value of the hexidecimal digit.
     */

    public int decodeHexDigit(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        else if (c >= 'A' && c <= 'F') {
            return c - 'A' + 10;
        }
        else if (c >= 'a' && c <= 'f') {
            return c - 'a' + 10;
        }
        else {
            return -1;
        }
    }
}",7.0,3,33,8,12.0,Long (21-40),Short (6-10),Long (21-40) | Short (6-10),DECODEHEXDIGIT,"['[춠]', '[J]', '[\x00]', '[8]', '[F]', '[e]']",[],"[0.44099998474121094, 0.5360000133514404, 0.619999885559082, 3.2679998874664307, 3.5450000762939453, 9.772000074386597]",[]
539,"public class ISVOWEL {
/**
     * Test if a char is a french vowel, including accentuated ones
     * 
     * @param ch the char to test
     * @return boolean - true if the char is a vowel
     */
    public boolean isVowel(char ch)
    {
        switch (ch) {
            case 'a':
            case 'e':
            case 'i':
            case 'o':
            case 'u':
            case 'y':
            case '\u00E0': // A WITH GRAVE
            case '\u00E2': // A WITH CIRCUMFLEX
            case '\u00E8': // E WITH GRAVE
            case '\u00E9': // E WITH ACUTE
            case '\u00EA': // E WITH CIRCUMFLEX
            case '\u00EB': // E WITH DIAERESIS
            case '\u00EE': // I WITH CIRCUMFLEX
            case '\u00EF': // I WITH DIAERESIS
            case '\u00F4': // O WITH CIRCUMFLEX
            case '\u00F9': // U WITH GRAVE
            case '\u00FB': // U WITH CIRCUMFLEX
            case '\u00FC': // U WITH DIAERESIS
                return true;
            default:
                return false;
        }
    }
}",2.0,1,11,22,403.0,Medium (11-20),Long (21+),Medium (11-20) | Long (21+),ISVOWEL,"['[Ⴗ]', '[ê]', '[i]', '[é]', '[e]', '[â]', '[û]', '[à]', '[è]', '[u]', '[y]', '[ù]', '[ï]', '[o]', '[î]']",[],"[0.12100005149841309, 2.818000078201294, 4.7200000286102295, 7.861000061035156, 12.599999904632568, 15.95300006866455, 16.568000078201294, 24.88100004196167, 30.8989999294281, 41.45799994468689, 42.698999881744385, 42.72499990463257, 42.818000078201294, 44.36500000953674, 55.11800003051758]",[]
571,"public class ISLATINCHAR {
/**
     * Returns true if the specified character is within one of the Latin
     * unicode character blocks.
     *
     * @param c The char to test.
     *
     * @return True if c is latin.
     */
    public boolean isLatinChar(char c) {

        if ( c < 255 && Character.isLetterOrDigit( c )){
            // cheap quick check, should catch most lation-chars
            return true;
        }

        Character.UnicodeBlock block = Character.UnicodeBlock.of(c);

        if (block == Character.UnicodeBlock.BASIC_LATIN ||
            block == Character.UnicodeBlock.LATIN_1_SUPPLEMENT ||
            block == Character.UnicodeBlock.LATIN_EXTENDED_ADDITIONAL ||
            block == Character.UnicodeBlock.LATIN_EXTENDED_A ||
            block == Character.UnicodeBlock.LATIN_EXTENDED_B ||
            block == Character.UnicodeBlock.ARABIC ||
            block == Character.UnicodeBlock.ARABIC_PRESENTATION_FORMS_A ||
            block == Character.UnicodeBlock.ARABIC_PRESENTATION_FORMS_B) {
            return true;
        }
        return false;
    }
}",11.0,2,15,13,435.0,Medium (11-20),Medium (11-20),Medium (11-20) | Medium (11-20),ISLATINCHAR,"['[\u18fe]', '[\x00]', '[ó]', '[ﻂ]', '[\xad]', '[ﰤ]', '[Ɏ]', '[ŝ]', '[ỉ]', '[ه]']",[],"[0.7049999237060547, 0.8039999008178711, 1.0169999599456787, 1.0320000648498535, 1.0720000267028809, 1.369999885559082, 1.438999891281128, 2.075000047683716, 2.369999885559082, 3.9549999237060547]",[]
159,"public class ISFORMATCHAR {
/**
   * Determines whether the given character is the beginning or end of a
   * section with special formatting.
   */
  public static boolean isFormatChar(char ch) {
    switch (ch) {
      case '*': case '_': case '^':
        return true;

      default:
        return false;
    }
  }
}",2.0,2,16,7,23.0,Medium (11-20),Short (6-10),Medium (11-20) | Short (6-10),ISFORMATCHAR,['[ꇘ]'],[],[0.09200000762939453],[]
315,"public class GETCORRESPONDINGSYMBOL {
/**
     * Looks for the corresponding symbol in the font Symbol.
     *
     * @param	c	the original ASCII-char
     * @return	the corresponding symbol in font Symbol
     */
    public static char getCorrespondingSymbol(char c) {
        switch(c) {
            case 913:
                return 'A'; // ALFA
            case 914:
                return 'B'; // BETA
            case 915:
                return 'G'; // GAMMA
            case 916:
                return 'D'; // DELTA
            case 917:
                return 'E'; // EPSILON
            case 918:
                return 'Z'; // ZETA
            case 919:
                return 'H'; // ETA
            case 920:
                return 'Q'; // THETA
            case 921:
                return 'I'; // IOTA
            case 922:
                return 'K'; // KAPPA
            case 923:
                return 'L'; // LAMBDA
            case 924:
                return 'M'; // MU
            case 925:
                return 'N'; // NU
            case 926:
                return 'X'; // XI
            case 927:
                return 'O'; // OMICRON
            case 928:
                return 'P'; // PI
            case 929:
                return 'R'; // RHO
            case 931:
                return 'S'; // SIGMA
            case 932:
                return 'T'; // TAU
            case 933:
                return 'U'; // UPSILON
            case 934:
                return 'F'; // PHI
            case 935:
                return 'C'; // CHI
            case 936:
                return 'Y'; // PSI
            case 937:
                return 'W'; // OMEGA
            case 945:
                return 'a'; // alfa
            case 946:
                return 'b'; // beta
            case 947:
                return 'g'; // gamma
            case 948:
                return 'd'; // delta
            case 949:
                return 'e'; // epsilon
            case 950:
                return 'z'; // zeta
            case 951:
                return 'h'; // eta
            case 952:
                return 'q'; // theta
            case 953:
                return 'i'; // iota
            case 954:
                return 'k'; // kappa
            case 955:
                return 'l'; // lambda
            case 956:
                return 'm'; // mu
            case 957:
                return 'n'; // nu
            case 958:
                return 'x'; // xi
            case 959:
                return 'o'; // omicron
            case 960:
                return 'p'; // pi
            case 961:
                return 'r'; // rho
            case 962:
                return 'V'; // sigma
            case 963:
                return 's'; // sigma
            case 964:
                return 't'; // tau
            case 965:
                return 'u'; // upsilon
            case 966:
                return 'f'; // phi
            case 967:
                return 'c'; // chi
            case 968:
                return 'y'; // psi
            case 969:
                return 'w'; // omega
                default:
                    return ' ';
        }
    }
}",2.0,1,9,101,179.0,Short (4-10),Long (21+),Short (4-10) | Long (21+),GETCORRESPONDINGSYMBOL,"['[訝]', '[\x00]', '[\t]', '[\x05]', '[\x0c]', '[\x12]', '[#]', '[\x11]', '[\x14]', '[8]', '[\x02]', '[3]', '[\x1b]', '[1]', '[2]', '[\x03]', '[)]', '[7]', '[,]', '[\x1d]', '[ ]', '[\x18]', '[%]', '[5]', '[$]', '[""]', '[\x1f]', '[\x1e]', '[.]', '[\x17]', '[\x06]', '[+]', '[\x0b]', '[\x08]', '[\x13]', '[\x19]', '[!]', '[\x10]', '[(]', '[]', '[&]', '[0]', '[/]', '[\x07]', ""[']"", '[\x0e]', '[6]', '[4]', '[*]', '[]']",[],"[0.6770000457763672, 0.8220000267028809, 3.5320000648498535, 3.6019999980926514, 4.329999923706055, 4.855999946594238, 6.644999980926514, 7.331000089645386, 7.680999994277954, 8.535000085830688, 8.555999994277954, 8.780999898910522, 9.259000062942505, 9.608999967575073, 10.480000019073486, 11.101999998092651, 11.861999988555908, 12.66599988937378, 12.783999919891357, 13.99399995803833, 15.426000118255615, 15.447999954223633, 15.700000047683716, 16.500999927520752, 18.375999927520752, 18.42799997329712, 21.846999883651733, 23.516000032424927, 23.676000118255615, 24.23799991607666, 24.914999961853027, 26.581000089645386, 26.769999980926514, 27.92300009727478, 28.513999938964844, 30.783999919891357, 30.979000091552734, 31.63100004196167, 31.83400011062622, 34.51799988746643, 35.03099989891052, 35.87700009346008, 38.05200004577637, 38.49900007247925, 39.38199996948242, 39.46000003814697, 43.86999988555908, 45.579999923706055, 49.58400011062622, 55.115999937057495]",[]
147,"public class ISWHITESPACE {
/**
         * Check if c is whitespace.
         * @param c character to test
         * @return true if c is a whitespace character
         */
        public boolean isWhitespace(char c) {
            switch(c) {
            case ' ':
            case '\t':
            case '\f':
            case '\n':
            case '\r':
            case 11: /* VT */
                return true;
            default:
                return false;
            }
        }
}",2.0,1,5,10,11.0,Short (4-10),Short (6-10),Short (4-10) | Short (6-10),ISWHITESPACE,"['[犏]', '[\x0b]', '[\x0c]', '[]', '[ ]']",[],"[0.1919999122619629, 15.157999992370605, 32.640000104904175, 35.312999963760376, 40.187000036239624]",[]
247,"public class COMPILE {
/**
     * Return true or false whether this encoding/format can encode the specified character or not.
     * <p>
     * This method will return true for the following character range: <br />
     * <code>
     *   <nobr>\b | \f | \t | \r | \n | "" | \ | / | [#x20-#xD7FF] | [#xE000-#xFFFD]</nobr>
     * </code>
     * </p>
     *
     * @see <a href=""http://www.w3.org/TR/REC-xml#charsets"">W3C XML 1.0 </a>
     * @see <a href=""http://json.org/"">JSON.org</a>
     */
    public boolean compile(char c) {
        if ((c == '\b') || (c == '\f') | (c == '\t') || (c == '\n') || (c == '\r') || (c == '""') || (c == '\\') || (c == '/')
            || (c == ']') || // ] - to avoid conflicts in CDATA
            (c == '<') || // - escape HTML markup characters
            (c == '>') || // - HTML
            (c == '&') || // - HTML
            (c == '-') || // - HTML comments
            (c < 0x20) || // See <http://www.w3.org/TR/REC-xml#charsets>
            ((c > 0xd7ff) && (c < 0xe000)) || (c > 0xfffd) || (c > 0xff)) {
            return false;
        }

        return true;
    }
}",18.0,7,49,24,111.0,Very Long (41+),Long (21+),Very Long (41+) | Long (21+),COMPILE,"['[欠]', '[\ue90f]', '[\x00]', '[?]', '[)]', '[]', '[]', '[\t]', '[-]', '[""]', '[>]', '[/]', '[\\]', '[\x08]']",[],"[0.21199989318847656, 0.27300000190734863, 0.2950000762939453, 0.312999963760376, 0.3970000743865967, 6.5350000858306885, 8.513000011444092, 12.29099988937378, 13.138000011444092, 18.683000087738037, 19.3989999294281, 39.33999991416931, 50.73300004005432, 57.91799998283386]",[]
773,"public class ISPRINTABLESTRINGCHAR {
/**
     * Determine if a character is one of the permissible characters for
     * PrintableString:
     * A-Z, a-z, 0-9, space, apostrophe (39), left and right parentheses,
     * plus sign, comma, hyphen, period, slash, colon, equals sign,
     * and question mark.
     *
     * Characters that are *not* allowed in PrintableString include
     * exclamation point, quotation mark, number sign, dollar sign,
     * percent sign, ampersand, asterisk, semicolon, less than sign,
     * greater than sign, at sign, left and right square brackets,
     * backslash, circumflex (94), underscore, back quote (96),
     * left and right curly brackets, vertical line, tilde,
     * and the control codes (0-31 and 127).
     *
     * This list is based on X.680 (the ASN.1 spec).
     */
    public static boolean isPrintableStringChar(char ch) {
        if ((ch >= 'a' && ch <= 'z') || (ch >= 'A' && ch <= 'Z') ||
            (ch >= '0' && ch <= '9')) {
            return true;
        } else {
            switch (ch) {
                case ' ':       /* space */
                case '\'':      /* apostrophe */
                case '(':       /* left paren */
                case ')':       /* right paren */
                case '+':       /* plus */
                case ',':       /* comma */
                case '-':       /* hyphen */
                case '.':       /* period */
                case '/':       /* slash */
                case ':':       /* colon */
                case '=':       /* equals */
                case '?':       /* question mark */
                    return true;
                default:
                    return false;
            }
        }
    }
}",8.0,13,99,19,637.0,Very Long (41+),Medium (11-20),Very Long (41+) | Medium (11-20),ISPRINTABLESTRINGCHAR,"['[ꈲ]', '[\x00]', '[Q]', '[q]', '[\x18]', '[9]', '[\x07]', '[\x11]', '[\x1e]', '[\x02]', '[\x1a]', '[\x14]', '[\x1b]', '[\x0b]', '[\x1d]', '[\x0e]', '[]', '[\x0c]', '[\x15]', '[\x13]', '[]', '[\x01]', '[\x16]', '[\x05]', '[\x19]', '[\x12]', '[\x0f]', '[\x03]', '[\x17]', '[\x08]']",[],"[0.6289999485015869, 0.6809999942779541, 3.1649999618530273, 3.2720000743865967, 3.640000104904175, 3.9639999866485596, 4.019999980926514, 4.5320000648498535, 5.992000102996826, 8.058000087738037, 8.178999900817871, 8.500999927520752, 9.561000108718872, 11.1010000705719, 15.367000102996826, 16.884000062942505, 16.95900011062622, 19.236999988555908, 19.69600009918213, 21.256999969482422, 22.89400005340576, 23.23799991607666, 23.956000089645386, 24.822999954223633, 26.65400004386902, 26.91100001335144, 27.219000101089478, 33.157999992370605, 43.07800006866455, 49.88800001144409]",[]
197,"public class USESAN {
/**
   * tests if this word should have an ""a"" or an ""an""
   * before it. char c is the first character of the word.
   */
  public static boolean usesAn(char c) {
    boolean result = false;
    switch(c) {
      case 'a':
      case 'A':
      case 'e':
      case 'E':
      case 'i':
      case 'I':
      case 'o':
      case 'O':
      case 'h':
      case 'H':
        result = true;
        break;
      default:
        result = false;
        break;
    }
    return result;
  }
}",2.0,2,22,18,61.0,Long (21-40),Medium (11-20),Long (21-40) | Medium (11-20),USESAN,"['[ã²•]', '[E]', '[I]', '[H]', '[a]', '[O]']",[],"[0.4270000457763672, 14.723999977111816, 36.17400002479553, 40.35899996757507, 43.42899990081787, 47.073999881744385]",[]
647,"public class TOCODEPOINT {
/**
     * Return the unicode code point represented by the char.
     * A bit of a dummy method, since all it does is return the char,
     * but as an int value.
     * <p>
     * This is not a public API.
     * @param ch the char.
     * @xsl.usage internal
     */
    static int toCodePoint(char ch) {
        int codePoint = ch;
        return codePoint;
    }
}",1.0,5,35,2,511.0,Long (21-40),Very Short (2-5),Long (21-40) | Very Short (2-5),TOCODEPOINT,['[æ“¥]'],[],[0.5659999847412109],[]
