Parameter,Function Name,Random Function Name,Function,Test Case
( int columnIndex ),getArray,eyqvcwne( int columnIndex ),"class getArray {
@Override
    public Array getArray( int columnIndex ) throws SQLException {
        throw new SQLFeatureNotSupportedException();
    }
}","@Test( expected = SQLFeatureNotSupportedException.class )
    public void featureNotSupportedCallingGetArrayColName() throws SQLException {
        resultSet.getArray(""colname"");
    }"
( int rowOffset ),getFloat,snrjietu( int rowOffset ),"class getFloat {
@Override
  public float getFloat( int rowOffset ) throws InvalidAccessException {
    final float result;
    switch ( getType().getMinorType() ) {
      // 1. Regular type:
      case FLOAT4:
        result = innerAccessor.getFloat( rowOffset );
        break;

      // 2. Converted-from types:
      case INT:
        result = innerAccessor.getInt( rowOffset );
        break;
      case BIGINT:
        result = innerAccessor.getLong( rowOffset );
        break;
      case FLOAT8:
        final double value = innerAccessor.getDouble( rowOffset );
        if ( Float.MIN_VALUE <= value && value <= Float.MAX_VALUE ) {
          result = (float) value;
        } else {
          throw newOverflowException( ""getFloat(...)"",
                                      ""Java double / SQL DOUBLE PRECISION"",
                                      value );
        }
        break;
      case DECIMAL:
        final BigDecimal decimalValue = innerAccessor.getBigDecimal( rowOffset );
        final float tempFloat = decimalValue.floatValue();
        if ( Float.NEGATIVE_INFINITY == tempFloat || Float.POSITIVE_INFINITY == tempFloat) {
          throw newOverflowException( ""getFloat(...)"",
            ""Java decimal / SQL DECIMAL PRECISION"",
            tempFloat );
        } else {
          result = tempFloat;
        }
        break;
      // 3. Not-yet-converted and unconvertible types:
      default:
        result = innerAccessor.getInt( rowOffset );
        break;
    }
    return result;
  }
}","@Test
  public void test_getFloat_on_DOUBLE_thatFits_getsIt() throws InvalidAccessException {
    final SqlAccessor uut1 =
        new TypeConvertingSqlAccessor( new DoubleStubAccessor( 1.125 ) );
    assertThat( uut1.getFloat( 0 ), equalTo( 1.125f ) );
    final SqlAccessor uut2 =
        new TypeConvertingSqlAccessor( new DoubleStubAccessor( Float.MAX_VALUE ) );
    assertThat( uut2.getFloat( 0 ), equalTo( Float.MAX_VALUE ) );
  }"
(boolean enable),setDownloadTxDependencies,hlzcxjnv(boolean enable),"class setDownloadTxDependencies {
public void setDownloadTxDependencies(boolean enable) {
        vDownloadTxDependencyDepth = enable ? Integer.MAX_VALUE : 0;
    }
}","@Test
    public void recursiveDependencyDownloadDisabled() throws Exception {
        peer.setDownloadTxDependencies(false);
        connect();
        // Check that if we request dependency download to be disabled and receive a relevant tx, things work correctly.
        Transaction tx = FakeTxBuilder.createFakeTx(UNITTEST, COIN, address);
        final Transaction[] result = new Transaction[1];
        wallet.addCoinsReceivedEventListener(new WalletCoinsReceivedEventListener() {
            @Override
            public void onCoinsReceived(Wallet wallet, Transaction tx, Coin prevBalance, Coin newBalance) {
                result[0] = tx;
            }
        });
        inbound(writeTarget, tx);
        pingAndWait(writeTarget);
        assertEquals(tx, result[0]);
    }"
(boolean enabled),setMyLocationEnabled,mqqdbvxb(boolean enabled),"class setMyLocationEnabled {
public void setMyLocationEnabled(boolean enabled) {
    setMyLocationEnabled(enabled, true);
  }
}","@Test public void setMyLocationEnabled_shouldCenterMapIfFindMeIsActive() throws Exception {
    doCallRealMethod().when(mapController).setPositionEased(any(LngLat.class), anyInt());
    when(mapController.getPosition()).thenCallRealMethod();

    overlayManager.setMyLocationEnabled(true);
    findMeButton.performClick();
    Location location = mock(Location.class);
    when(location.getLatitude()).thenReturn(-70.0);
    when(location.getLongitude()).thenReturn(-40.0);
    overlayManager.locationListener.onLocationChanged(location);
    assertThat(mapController.getPosition().latitude).isEqualTo(-70.0);
    assertThat(mapController.getPosition().longitude).isEqualTo(-40.0);
  }"
(boolean value),setHorizontallyCenter,iueqewtd(boolean value),"class setHorizontallyCenter {
@Override
    public void setHorizontallyCenter(boolean value) {
        throw new UnsupportedOperationException();
    }
}","@Test(expected = UnsupportedOperationException.class)
    public void setHorizontallyCenter() throws Exception {
        streamingSheet.setHorizontallyCenter(true);
    }"
(char c),hexCharToIntValue,tzrnhvcm(char c),"class hexCharToIntValue {
static public int hexCharToIntValue(char c) {
        if (c == '0') {
            return 0;
        } else if (c == '1') {
            return 1;
        } else if (c == '2') {
            return 2;
        } else if (c == '3') {
            return 3;
        } else if (c == '4') {
            return 4;
        } else if (c == '5') {
            return 5;
        } else if (c == '6') {
            return 6;
        } else if (c == '7') {
            return 7;
        } else if (c == '8') {
            return 8;
        } else if (c == '9') {
            return 9;
        } else if (c == 'A' || c == 'a') {
            return 10;
        } else if (c == 'B' || c == 'b') {
            return 11;
        } else if (c == 'C' || c == 'c') {
            return 12;
        } else if (c == 'D' || c == 'd') {
            return 13;
        } else if (c == 'E' || c == 'e') {
            return 14;
        } else if (c == 'F' || c == 'f') {
            return 15;
        } else {
            throw new IllegalArgumentException(""The character ["" + c + ""] does not represent a valid hex digit"");
        }
    }
}","@Test
    public void hexCharToIntValue() throws Exception {
        Assert.assertEquals(0, HexUtil.hexCharToIntValue('0'));
        Assert.assertEquals(1, HexUtil.hexCharToIntValue('1'));
        Assert.assertEquals(2, HexUtil.hexCharToIntValue('2'));
        Assert.assertEquals(3, HexUtil.hexCharToIntValue('3'));
        Assert.assertEquals(4, HexUtil.hexCharToIntValue('4'));
        Assert.assertEquals(5, HexUtil.hexCharToIntValue('5'));
        Assert.assertEquals(6, HexUtil.hexCharToIntValue('6'));
        Assert.assertEquals(7, HexUtil.hexCharToIntValue('7'));
        Assert.assertEquals(8, HexUtil.hexCharToIntValue('8'));
        Assert.assertEquals(9, HexUtil.hexCharToIntValue('9'));
        Assert.assertEquals(10, HexUtil.hexCharToIntValue('A'));
        Assert.assertEquals(11, HexUtil.hexCharToIntValue('B'));
        Assert.assertEquals(12, HexUtil.hexCharToIntValue('C'));
        Assert.assertEquals(13, HexUtil.hexCharToIntValue('D'));
        Assert.assertEquals(14, HexUtil.hexCharToIntValue('E'));
        Assert.assertEquals(15, HexUtil.hexCharToIntValue('F'));
        Assert.assertEquals(10, HexUtil.hexCharToIntValue('a'));
        Assert.assertEquals(11, HexUtil.hexCharToIntValue('b'));
        Assert.assertEquals(12, HexUtil.hexCharToIntValue('c'));
        Assert.assertEquals(13, HexUtil.hexCharToIntValue('d'));
        Assert.assertEquals(14, HexUtil.hexCharToIntValue('e'));
        Assert.assertEquals(15, HexUtil.hexCharToIntValue('f'));

        try {
            Assert.assertEquals(15, HexUtil.hexCharToIntValue('g'));
            Assert.fail();
        } catch (IllegalArgumentException e) {
            // correct behavior
        }
    }"
(double value),convert,srveuigl(double value),"class convert {
public double convert(double value) {
    if (Double.isNaN(value)) {
      return value;
    }

    if (from.equals(to)) {
      return value;
    }

    BigDecimal result = new BigDecimal(String.valueOf(value)).multiply(multiplier);
    return result.doubleValue();
  }
}","@Test
  public void testConvertDoubleNan() {
    double nan = Double.NaN;
    ConvertDistances converter = new ConvertDistances(ConvertDistances.Distance.MILE,
                                                      ConvertDistances.Distance.KILOMETER);
    Assert.assertEquals(nan, converter.convert(nan), delta);
  }"
(double value),setPcr,pinsbgam(double value),"class setPcr {
public void setPcr(double value) {
        if (value < .8 || value > 1) {
            throw new TramoException(""PCR should belong to [0.8, 1.0]"");
        }
        pcr_ = value;
    }
}","@Test(expected = TramoException.class)
    public void testSetPcUpperBound() {
        AutoModelSpec spec = new AutoModelSpec();
        spec.setPcr(0.31);
    }"
(double x),density,pvireidn(double x),"class density {
@Override
    public double density(double x) {
        if (x <= 0) {
            return 0;
        }
        final double x0 = Math.log(x) - scale;
        final double x1 = x0 / shape;
        return Math.exp(-0.5 * x1 * x1) / (shape * SQRT2PI * x);
    }
}","@Test
    void testDensity() {
        final double[] x = new double[]{-2, -1, 0, 1, 2};
        // R 2.13: print(dlnorm(c(-2,-1,0,1,2)), digits=10)
        checkDensity(0, 1, x, new double[] {0.0000000000, 0.0000000000,
                                            0.0000000000, 0.3989422804,
                                            0.1568740193});
        // R 2.13: print(dlnorm(c(-2,-1,0,1,2), mean=1.1), digits=10)
        checkDensity(1.1, 1, x, new double[] {0.0000000000, 0.0000000000,
                                              0.0000000000, 0.2178521770,
                                              0.1836267118});
    }"
"(double x, double y)",y2Lat,"fnadejme(double x, double y)","class y2Lat {
public double y2Lat(double x, double y)
    {
        double lat=lat0;
        double ro = sqrt(x*x + y*y);
        if (ro!=0.0)
        {
            double c = 2.0 * atan(ro / (2.0 * RADIUS));
            lat = asin(cos(c) * sin(lat0Rad) + (y * sin(c) * cos(lat0Rad)) / ro);
            lat = toDegrees(lat);
        }
        return lat;
    }
}","@Test
    public void testY2Lat() throws Exception {
        assertEquals(56.0, transformer.y2Lat(0.0, 0.0), 1e-10);
        assertEquals(56.0, transformer.y2Lat(6204.034306340757, 4.4884447780805115), 1e-10);
        assertEquals(56.1, transformer.y2Lat(0.0, 11094.62855321888), 1e-10);
        assertEquals(56.0, transformer.y2Lat(-6204.034306340658, 4.4884447780805115), 1e-10);
        assertEquals(55.9, transformer.y2Lat(0.0, -11094.628553220642), 1e-10);
    }"
"(int a, int b)",add,"fnlniuym(int a, int b)","class add {
public int add(int a, int b) {
        notifyJmsQueue(a, b);
        return a + b;
    }
}","@Test
    public void addPositiveIntegers() {
        assertEquals(7, calc.add(2, 5));
    }"
(int b),write,scxvpruq(int b),"class write {
@Override
    public void write(int b) throws IOException {
        filePosition++;
        super.write(b);
    }
}","@Test
    public void testWriteByteArrayWithLengthAndOffset() throws IOException {
        byte[] arr = new byte[345];
        random.nextBytes(arr);
        writer.write(arr, 10, 300);

        expectData(Arrays.copyOfRange(arr, 10, 310));
    }"
(int column),viewColumn,lannblrb(int column),"class viewColumn {
@Override
  public Vector viewColumn(int column) {
    if (column < 0 || column >= columnSize()) {
      throw new IndexException(column, columnSize());
    }
    return new VectorView(matrix.viewColumn(column + offset[COL]), offset[ROW], rowSize());
  }
}","@Test(expected = IndexException.class)
  public void testViewColumnIndexUnder() {
    test.viewColumn(-1);
  }"
(int columnIndex),getLong,nkoffmxc(int columnIndex),"class getLong {
@Override
    public long getLong(int columnIndex) {
        ensureState();
        throw unsupported(""long"");
    }
}","@Test
    public void getLongByIndexThrowsUnsupportedOperationException() {
        resultSet.next();
        expectUnsupportedOperation(""long"");
        resultSet.getLong(0);
    }"
(int count),getName,nbmumyur(int count),"class getName {
@Override
  public GcsPath getName(int count) {
    checkArgument(count >= 0);

    Iterator<Path> iterator = iterator();
    for (int i = 0; i < count; ++i) {
      checkArgument(iterator.hasNext());
      iterator.next();
    }

    checkArgument(iterator.hasNext());
    return (GcsPath) iterator.next();
  }
}","@Test
  public void testGetName() {
    GcsPath a = GcsPath.fromComponents(""bucket"", ""a/b/c/d"");
    assertEquals(5, a.getNameCount());
    assertThat(a.getName(0).toString(), Matchers.equalTo(""gs://bucket/""));
    assertThat(a.getName(1).toString(), Matchers.equalTo(""a""));
    assertThat(a.getName(2).toString(), Matchers.equalTo(""b""));
    assertThat(a.getName(3).toString(), Matchers.equalTo(""c""));
    assertThat(a.getName(4).toString(), Matchers.equalTo(""d""));
  }"
(int i),getIntUnsafe,kccwcedx(int i),"class getIntUnsafe {
@Override
    public int getIntUnsafe(int i) {
        throw new UnsupportedOperationException();
    }
}","@Test(expected = UnsupportedOperationException.class)
    public void getIntUnsafe() {
        trieSet.getIntUnsafe(0);
    }"
