Parameter,Function,Test Case
(boolean enable),"class setDependency {
public void setDependency(boolean enable) {
		if (enable != this.enabled) {
			this.enabled = enable;
			
			if (eventHelper != null)
				eventHelper.fireEvent(new VisualPropertyDependencyChangedEvent(this));
		}
	}
}","@Test
	public void testSetDependency() {
		dependency.setDependency(true);
		assertTrue(dependency.isDependencyEnabled());
	}"
(boolean enable),"class enablePsActiveForceMode {
public void enablePsActiveForceMode(boolean enable)
            throws IOException, IllegalStateException {
        setPsConf3Ms(PS_ACTIVE_FORCE_MODE_MASK,
                (enable) ? PS_ACTIVE_FORCE_MODE_ENABLE : PS_ACTIVE_FORCE_MODE_DISABLE);
    }
}","@Test
    public void enablePsActiveForceMode() throws IOException {
        Vcnl4200 vcnl4200 = new Vcnl4200(mI2c);
        Mockito.reset(mI2c);

        vcnl4200.enablePsActiveForceMode(true);
        Mockito.verify(mI2c).writeRegWord(eq(Vcnl4200.REGISTER_PS_CONF_3_MS),
                eq((short) Vcnl4200.PS_ACTIVE_FORCE_MODE_ENABLE));

        vcnl4200.enablePsActiveForceMode(false);
        Mockito.verify(mI2c).writeRegWord(eq(Vcnl4200.REGISTER_PS_CONF_3_MS),
                eq((short) Vcnl4200.PS_ACTIVE_FORCE_MODE_DISABLE));
    }"
(boolean enable),"class enablePsPower {
public void enablePsPower(boolean enable)
            throws IOException, IllegalStateException {
        setPsConf12(PS_POWER_MASK, (enable) ? PS_POWER_ON : PS_POWER_OFF);
    }
}","@Test
    public void enablePsPower() throws IOException {
        Vcnl4200 vcnl4200 = new Vcnl4200(mI2c);
        Mockito.reset(mI2c);

        vcnl4200.enablePsPower(true);
        Mockito.verify(mI2c).writeRegWord(eq(Vcnl4200.REGISTER_PS_CONF_1_2),
                eq((short) Vcnl4200.PS_POWER_ON));

        vcnl4200.enablePsPower(false);
        Mockito.verify(mI2c).writeRegWord(eq(Vcnl4200.REGISTER_PS_CONF_1_2),
                eq((short) Vcnl4200.PS_POWER_OFF));
    }"
(boolean enable),"class enablePsSmartPersistence {
public void enablePsSmartPersistence(boolean enable)
            throws IOException, IllegalStateException {
        setPsConf3Ms(PS_SMART_PERSISTENCE_MASK,
                (enable) ? PS_SMART_PERSISTENCE_ENABLE : PS_SMART_PERSISTENCE_DISABLE);
    }
}","@Test
    public void enablePsSmartPersistence() throws IOException {
        Vcnl4200 vcnl4200 = new Vcnl4200(mI2c);
        Mockito.reset(mI2c);

        vcnl4200.enablePsSmartPersistence(true);
        Mockito.verify(mI2c).writeRegWord(eq(Vcnl4200.REGISTER_PS_CONF_3_MS),
                eq((short) Vcnl4200.PS_SMART_PERSISTENCE_ENABLE));

        vcnl4200.enablePsSmartPersistence(false);
        Mockito.verify(mI2c).writeRegWord(eq(Vcnl4200.REGISTER_PS_CONF_3_MS),
                eq((short) Vcnl4200.PS_SMART_PERSISTENCE_DISABLE));
    }"
(boolean enable),"class setEnableBootProperty {
@Override
    public void setEnableBootProperty(boolean enable) {
        boot.setEnabled(enable);
    }
}","@Test
    public void bootPropertyShouldBeEnable() {
        view.setEnableBootProperty(true);

        verify(view.boot).setEnabled(true);
    }"
(boolean enable),"class setDownloadTxDependencies {
public void setDownloadTxDependencies(boolean enable) {
        vDownloadTxDependencyDepth = enable ? Integer.MAX_VALUE : 0;
    }
}","@Test
    public void recursiveDependencyDownloadDisabled() throws Exception {
        peer.setDownloadTxDependencies(false);
        connect();
        // Check that if we request dependency download to be disabled and receive a relevant tx, things work correctly.
        Transaction tx = FakeTxBuilder.createFakeTx(UNITTEST, COIN, address);
        final Transaction[] result = new Transaction[1];
        wallet.addCoinsReceivedEventListener(new WalletCoinsReceivedEventListener() {
            @Override
            public void onCoinsReceived(Wallet wallet, Transaction tx, Coin prevBalance, Coin newBalance) {
                result[0] = tx;
            }
        });
        inbound(writeTarget, tx);
        pingAndWait(writeTarget);
        assertEquals(tx, result[0]);
    }"
(long itemID),"class getNumUsersWithPreferenceFor {
@Override
  public int getNumUsersWithPreferenceFor(long itemID) throws TasteException {
    return delegate.getNumUsersWithPreferenceFor(itemID);
  }
}","@Test
  public void testNumUsersPreferring() throws Exception {
    assertEquals(2, model.getNumUsersWithPreferenceFor(456));
    assertEquals(0, model.getNumUsersWithPreferenceFor(111));
    assertEquals(0, model.getNumUsersWithPreferenceFor(111, 456));
    assertEquals(2, model.getNumUsersWithPreferenceFor(123, 234));
  }"
(int type),"class getEdges {
public Collection<Edge> getEdges(int type) {
        Collection<Edge> typed = null;
        for (Object node : _graph.getNodes()) {
            for (Edge edge : _graph.getEdgesFrom(node)) {
                if (edge.getType() == type) {
                    if (typed == null)
                        typed = new ArrayList<>();
                    typed.add(edge);
                }
            }
        }
        if(typed == null ) {
            typed = Collections.emptyList();
        }
        return typed;
    }
}","@Test
    public void testForwardEdges() {
        setUpGraph2();
        Collection edges = _dfa.getEdges(Edge.TYPE_FORWARD);
        assertEquals(2, edges.size());
        Iterator itr = edges.iterator();
        Edge edge0 = (Edge) itr.next();
        Edge edge1 = (Edge) itr.next();
        if (edge0.getCycle() == null) {
            List cycle = edge1.getCycle();
            assertTrue(cycle != null && cycle.size() == 3);
            assertTrue(((Edge)cycle.get(0)).getFrom().equals(
                    ((Edge)cycle.get(2)).getTo()));
        } else if (edge1.getCycle() == null) {
            List cycle = edge0.getCycle();
            assertTrue(cycle != null && cycle.size() == 3);
            assertTrue(((Edge)cycle.get(0)).getFrom().equals(
                    ((Edge)cycle.get(2)).getTo()));
        } else {
            // should not happen
            assertFalse(true);
        }
    }"
(int type),"class fromSqlTypeToClass {
private static Class<?> fromSqlTypeToClass(int type) {
    switch (type) {
      case Types.VARCHAR:
      case Types.CHAR:
      case Types.LONGVARCHAR:
        return String.class;
      case Types.NUMERIC:
      case Types.DECIMAL:
        return BigDecimal.class;
      case Types.BIT:
        return Boolean.class;
      case Types.TINYINT:
        return Byte.class;
      case Types.SMALLINT:
        return Short.class;
      case Types.INTEGER:
        return Integer.class;
      case Types.BIGINT:
        return Long.class;
      case Types.FLOAT:
      case Types.REAL:
        return Float.class;
      case Types.DOUBLE:
        return Double.class;
      case Types.BINARY:
      case Types.VARBINARY:
      case Types.LONGVARBINARY:
        return Byte[].class;
      case Types.DATE:
        return java.sql.Date.class;
      case Types.TIME:
        return java.sql.Timestamp.class;
      default:
        return null;
    }
  }
}","@Test
  public void testFromSqlTypeToClass() throws Exception {
    String tableName = getFreeTableName();
    String columnName = ""col1"";

    createMyTable(tableName, columnName);

    DBAccessorImpl dbAccessor = injector.getInstance(DBAccessorImpl.class);
    DBColumnInfo columnInfo =  dbAccessor.getColumnInfo(tableName, columnName);

    assertEquals(columnName.toUpperCase(), columnInfo.getName());
    assertEquals(String.class, columnInfo.getType());
  }"
(int type),"class othersInsertsAreVisible {
@Override
  public boolean othersInsertsAreVisible(int type) throws SQLException {
    return delegate.othersInsertsAreVisible(type);
  }
}","@Test
  public void othersInsertsAreVisibleTest() throws SQLException {
    int type = ThreadLocalRandom.current().nextInt();
    wrapMD.othersInsertsAreVisible(type);
    verify(mockMD).othersInsertsAreVisible(type);
  }"
