Class_Name,Function,SPF_Test_Values,LLM_Result
UnknownClass,getMask,"Inputs: numOfBits_1_SYMINT

(1)  --> Return Value: 1
(2)  --> Return Value: 3
(3)  --> Return Value: 7
(4)  --> Return Value: 15
(5)  --> Return Value: 31
(6)  --> Return Value: 63
(7)  --> Return Value: 127
(8)  --> Return Value: 255
(0)  --> Return Value: 0
","import org.junit.Assert;
import org.junit.Test;

public class MyClassTest {

    @Test
    public void testCase1() {
        Assert.assertEquals(1, 1);
    }

    @Test
    public void testCase2() {
        Assert.assertEquals(3, 3);
    }

    @Test
    public void testCase3() {
        Assert.assertEquals(7, 7);
    }

    @Test
    public void testCase4() {
        Assert.assertEquals(15, 15);
    }

    @Test
    public void testCase5() {
        Assert.assertEquals(31, 31);
    }

    @Test
    public void testCase6() {
        Assert.assertEquals(63, 63);
    }

    @Test
    public void testCase7() {
        Assert.assertEquals(127, 127);
    }

    @Test
    public void testCase8() {
        Assert.assertEquals(255, 255);
    }

    @Test
    public void testCase9() {
        Assert.assertEquals(0, 0);
    }
}"
UnknownClass,intToHexDigitMsb0,"Inputs: nibble_1_SYMINT

(0)  --> Return Value: 48
(1)  --> Return Value: 56
(2)  --> Return Value: 52
(3)  --> Return Value: 99
(4)  --> Return Value: 50
(5)  --> Return Value: 97
(6)  --> Return Value: 54
(7)  --> Return Value: 101
(8)  --> Return Value: 49
(9)  --> Return Value: 57
(10)  --> Return Value: 53
(11)  --> Return Value: 100
(12)  --> Return Value: 51
(13)  --> Return Value: 98
(14)  --> Return Value: 55
(15)  --> Return Value: 102
demo.Distance.distance(-1)  --> ""java.lang.IllegalArgumentException: nibble value not between 0 and 15: 0...""
","import org.junit.Assert;
import org.junit.Test;

public class MyClassTest {
    @Test
    public void testCase1() {
        Assert.assertEquals(48, 0);
    }

    @Test
    public void testCase2() {
        Assert.assertEquals(56, 1);
    }

    @Test
    public void testCase3() {
        Assert.assertEquals(52, 2);
    }

    @Test
    public void testCase4() {
        Assert.assertEquals(99, 3);
    }

    @Test
    public void testCase5() {
        Assert.assertEquals(50, 4);
    }

    @Test
    public void testCase6() {
        Assert.assertEquals(97, 5);
    }

    @Test
    public void testCase7() {
        Assert.assertEquals(54, 6);
    }

    @Test
    public void testCase8() {
        Assert.assertEquals(101, 7);
    }

    @Test
    public void testCase9() {
        Assert.assertEquals(49, 8);
    }

    @Test
    public void testCase10() {
        Assert.assertEquals(57, 9);
    }

    @Test
    public void testCase11() {
        Assert.assertEquals(53, 10);
    }

    @Test
    public void testCase12() {
        Assert.assertEquals(100, 11);
    }

    @Test
    public void testCase13() {
        Assert.assertEquals(51, 12);
    }

    @Test
    public void testCase14() {
        Assert.assertEquals(98, 13);
    }

    @Test
    public void testCase15() {
        Assert.assertEquals(55, 14);
    }

    @Test
    public void testCase16() {
        Assert.assertEquals(102, 15);
    }
}"
UnknownClass,isNumeric,"Inputs: type_1_SYMINT

(-7)  --> Return Value: 1
(-6)  --> Return Value: 1
(-5)  --> Return Value: 1
(-4)  --> Return Value: 0
(-3)  --> Return Value: 0
(-2)  --> Return Value: 0
(-1)  --> Return Value: 0
(0)  --> Return Value: 0
(1)  --> Return Value: 0
(2)  --> Return Value: 1
(3)  --> Return Value: 1
(4)  --> Return Value: 1
(5)  --> Return Value: 1
(6)  --> Return Value: 1
(7)  --> Return Value: 1
(8)  --> Return Value: 1
(-8)  --> Return Value: 0
","import org.junit.Assert;
import org.junit.Test;

public class MyClassTest {

    @Test
    public void testCase1() {
        Assert.assertEquals(1, myMethod(-7));
    }

    @Test
    public void testCase2() {
        Assert.assertEquals(1, myMethod(-6));
    }

    @Test
    public void testCase3() {
        Assert.assertEquals(1, myMethod(-5));
    }

    @Test
    public void testCase4() {
        Assert.assertEquals(0, myMethod(-4));
    }

    @Test
    public void testCase5() {
        Assert.assertEquals(0, myMethod(-3));
    }

    @Test
    public void testCase6() {
        Assert.assertEquals(0, myMethod(-2));
    }

    @Test
    public void testCase7() {
        Assert.assertEquals(0, myMethod(-1));
    }

    @Test
    public void testCase8() {
        Assert.assertEquals(0, myMethod(0));
    }

    @Test
    public void testCase9() {
        Assert.assertEquals(0, myMethod(1));
    }

    @Test
    public void testCase10() {
        Assert.assertEquals(1, myMethod(2));
    }

    @Test
    public void testCase11() {
        Assert.assertEquals(1, myMethod(3));
    }

    @Test
    public void testCase12() {
        Assert.assertEquals(1, myMethod(4));
    }

    @Test
    public void testCase13() {
        Assert.assertEquals(1, myMethod(5));
    }

    @Test
    public void testCase14() {
        Assert.assertEquals(1, myMethod(6));
    }

    @Test
    public void testCase15() {
        Assert.assertEquals(1, myMethod(7));
    }

    @Test
    public void testCase16() {
        Assert.assertEquals(1, myMethod(8));
    }

    @Test
    public void testCase17() {
        Assert.assertEquals(0, myMethod(-8));
    }

    private int myMethod(int x) {
        // Assume this method exists
        return 0; 
    }
}"
UnknownClass,getEuropeanDigit,"Inputs: ch_1_SYMINT

(123)  --> Return Value: -1
(0)  --> Return Value: -1
(65371)  --> Return Value: -1
(65)  --> Return Value: 10
(65313)  --> Return Value: 10
(97)  --> Return Value: 10
(91)  --> Return Value: -1
(65339)  --> Return Value: -1
(65345)  --> Return Value: 10
","import org.junit.Assert;
import org.junit.Test;

public class MyClassTest {

    @Test
    public void testCase1() {
        Assert.assertEquals(-1, someMethod(123));
    }

    @Test
    public void testCase2() {
        Assert.assertEquals(-1, someMethod(0));
    }

    @Test
    public void testCase3() {
        Assert.assertEquals(-1, someMethod(65371));
    }

    @Test
    public void testCase4() {
        Assert.assertEquals(10, someMethod(65));
    }

    @Test
    public void testCase5() {
        Assert.assertEquals(10, someMethod(65313));
    }

    @Test
    public void testCase6() {
        Assert.assertEquals(10, someMethod(97));
    }

    @Test
    public void testCase7() {
        Assert.assertEquals(-1, someMethod(91));
    }

    @Test
    public void testCase8() {
        Assert.assertEquals(-1, someMethod(65339));
    }

    @Test
    public void testCase9() {
        Assert.assertEquals(10, someMethod(65345));
    }


    // Assume this method exists elsewhere
    private int someMethod(int input) {
        return 0; // Replace with actual implementation if available.
    }
}"
UnknownClass,usesAn,"Inputs: c_1_SYMINT

(65)  --> Return Value: 1
(69)  --> Return Value: 1
(72)  --> Return Value: 1
(73)  --> Return Value: 1
(79)  --> Return Value: 1
(97)  --> Return Value: 1
(101)  --> Return Value: 1
(104)  --> Return Value: 1
(105)  --> Return Value: 1
(111)  --> Return Value: 1
(0)  --> Return Value: 0
","import org.junit.Assert;
import org.junit.Test;

public class MyClassTest {

    @Test
    public void testCase1() {
        Assert.assertEquals(1, methodUnderTest(65));
    }

    @Test
    public void testCase2() {
        Assert.assertEquals(1, methodUnderTest(69));
    }

    @Test
    public void testCase3() {
        Assert.assertEquals(1, methodUnderTest(72));
    }

    @Test
    public void testCase4() {
        Assert.assertEquals(1, methodUnderTest(73));
    }

    @Test
    public void testCase5() {
        Assert.assertEquals(1, methodUnderTest(79));
    }

    @Test
    public void testCase6() {
        Assert.assertEquals(1, methodUnderTest(97));
    }

    @Test
    public void testCase7() {
        Assert.assertEquals(1, methodUnderTest(101));
    }

    @Test
    public void testCase8() {
        Assert.assertEquals(1, methodUnderTest(104));
    }

    @Test
    public void testCase9() {
        Assert.assertEquals(1, methodUnderTest(105));
    }

    @Test
    public void testCase10() {
        Assert.assertEquals(1, methodUnderTest(111));
    }

    @Test
    public void testCase11() {
        Assert.assertEquals(0, methodUnderTest(0));
    }

    private int methodUnderTest(int input) {
        // Assume this method exists and is on the classpath
        return 0; 
    }
}"
UnknownClass,colorComponentAbsolute,"Inputs: value_1_SYMREAL,bLeft_2_SYMREAL,bRight_3_SYMREAL,tLeft_4_SYMREAL,tRight_5_SYMREAL

(0.0f,1.0f,-9223372036854775808(don't care),-9223372036854775808(don't care),-9223372036854775808(don't care))  --> Return Value: 0.0
(0.0f,0.0f,0.0f,-9223372036854775808(don't care),-9223372036854775808(don't care))  --> Return Value: 0.0
(0.5f,0.5f,0.0f,-9223372036854775808(don't care),-9223372036854775808(don't care))  --> Return Value: 0.0
(0.5f,0.0f,0.5f,-9223372036854775808(don't care),-9223372036854775808(don't care))  --> Return Value: 0.0
(0.5f,0.0f,0.0f,-9223372036854775808(don't care),-9223372036854775808(don't care))  --> Return Value: 0.0
demo.Distance.distance(0.0f,0.0f,1.0f,1.0f,-9223372036854775808(don't care))  --> ""java.lang.ArithmeticException: div by 0...""
demo.Distance.distance(0.5f,0.0f,1.0f,1.0f,-9223372036854775808(don't care))  --> ""java.lang.ArithmeticException: div by 0...""
(0.0f,0.0f,1.0f,0.0f,1.0f)  --> Return Value: 1.0
demo.Distance.distance(0.0f,0.0f,1.0f,0.0f,0.0f)  --> ""java.lang.ArithmeticException: div by 0...""
demo.Distance.distance(0.5f,0.5f,1.0f,0.5f,0.0f)  --> ""java.lang.ArithmeticException: div by 0...""
(0.5f,0.5f,1.0f,0.0f,1.0f)  --> Return Value: 1.0
demo.Distance.distance(0.5f,0.5f,1.0f,0.0f,0.5f)  --> ""java.lang.ArithmeticException: div by 0...""
demo.Distance.distance(0.5f,0.5f,1.0f,0.0f,0.0f)  --> ""java.lang.ArithmeticException: div by 0...""
(0.5f,0.0f,1.0f,0.5f,1.0f)  --> Return Value: 1.0
demo.Distance.distance(0.5f,0.0f,1.0f,0.5f,0.5f)  --> ""java.lang.ArithmeticException: div by 0...""
demo.Distance.distance(0.5f,0.0f,1.0f,0.5f,0.0f)  --> ""java.lang.ArithmeticException: div by 0...""
(0.5f,0.0f,1.0f,0.0f,1.0f)  --> Return Value: 1.0
demo.Distance.distance(0.5f,0.0f,1.0f,0.0f,0.5f)  --> ""java.lang.ArithmeticException: div by 0...""
demo.Distance.distance(0.5f,0.0f,1.0f,0.0f,0.0f)  --> ""java.lang.ArithmeticException: div by 0...""
","import org.junit.Assert;
import org.junit.Test;

public class MyClassTest {
    @Test
    public void testCase1() {
        Assert.assertEquals(0.0, 0.0, 0.001);
    }
    @Test
    public void testCase2() {
        Assert.assertEquals(0.0, 0.0, 0.001);
    }
    @Test
    public void testCase3() {
        Assert.assertEquals(0.0, 0.0, 0.001);
    }
    @Test
    public void testCase4() {
        Assert.assertEquals(0.0, 0.0, 0.001);
    }
    @Test
    public void testCase5() {
        Assert.assertEquals(0.0, 0.0, 0.001);
    }
    @Test
    public void testCase6() {
        Assert.assertEquals(1.0, 1.0, 0.001);
    }
    @Test
    public void testCase7() {
        Assert.assertEquals(1.0, 1.0, 0.001);
    }
    @Test
    public void testCase8() {
        Assert.assertEquals(1.0, 1.0, 0.001);
    }
    @Test
    public void testCase9() {
        Assert.assertEquals(1.0, 1.0, 0.001);
    }
}"
UnknownClass,toJavaSecs,"Inputs: secs_1_SYMINT

(-13165977601l)  --> Return Value: -12219292801
(-13165977600l)  --> Return Value: -12219292800
(0l)  --> Return Value: 946684800
","import org.junit.Assert;
import org.junit.Test;

public class MyClassTest {

    @Test
    public void testCase1() {
        Assert.assertEquals(-12219292801L, MyClass.myMethod(-13165977601L));
    }

    @Test
    public void testCase2() {
        Assert.assertEquals(-12219292800L, MyClass.myMethod(-13165977600L));
    }

    @Test
    public void testCase3() {
        Assert.assertEquals(946684800L, MyClass.myMethod(0L));
    }
}"
UnknownClass,toPgSecs,"Inputs: secs_1_SYMINT

(-12219292801l)  --> Return Value: -13165977601
(-12219292800l)  --> Return Value: -13165977600
(665609089l)  --> Return Value: -281075711
","import org.junit.Assert;
import org.junit.Test;

public class MyClassTest {

    @Test
    public void testCase1() {
        Assert.assertEquals(-13165977601L, MyClass.myMethod(-12219292801L));
    }

    @Test
    public void testCase2() {
        Assert.assertEquals(-13165977600L, MyClass.myMethod(-12219292800L));
    }

    @Test
    public void testCase3() {
        Assert.assertEquals(-281075711L, MyClass.myMethod(665609089L));
    }
}"
UnknownClass,reverse,No path condition,"import org.junit.Assert;
import org.junit.Test;

public class YourClassNameTest { // Replace YourClassName with the actual class name

    @Test
    public void testCase1() {
        // Add your test case here based on the provided input-output pairs.  
        // Example: Assert.assertEquals(expectedReturnValue, YourClassName.yourMethod(arg1, arg2));
    }

    @Test
    public void testCase2() {
        // Add your test case here based on the provided input-output pairs.
    }

    // Add more testCaseN() methods as needed for each input-output pair.

}"
UnknownClass,nextHighestPowerOfTwo,No path condition,"import org.junit.Assert;
import org.junit.Test;

public class YourClassNameTest {

    @Test
    public void testCase1() {
        // Replace with your actual test case
        Assert.assertEquals(0, 0); 
    }

    @Test
    public void testCase2() {
        // Replace with your actual test case
        Assert.assertEquals(0, 0);
    }

    @Test
    public void testCase3() {
        // Replace with your actual test case
        Assert.assertEquals(0, 0);
    }


}"
