,Function,cyclomatic_complexity,javadoc_length,tokens,LOC
0,"public class MBTOBYTE {
/**
     * Converts MB to bytes.
     * 
     * @param mbytes The MB to convert.
     * @return The converted result.
     */

    private static long mbTobyte(final long mbytes)
    {
        final int MB_TO_BYTE = 1048576;
        return mbytes * MB_TO_BYTE;
    }
}",1.0,1,4,2
1,"public class DISTANCESQ {
/**
     * Returns the square of the distance between two points.
     *
     * @param x1 the X coordinate of the first specified point
     * @param y1 the Y coordinate of the first specified point
     * @param x2 the X coordinate of the second specified point
     * @param y2 the Y coordinate of the second specified point
     * @return the square of the distance between the two
     * sets of specified coordinates.
     * @since 1.2
     */
    public static double distanceSq(double x1, double y1,
                                    double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return (x1 * x1 + y1 * y1);
    }
}",1.0,2,13,3
2,"public class DISTANCE {
/**
     * Returns the distance between two points.
     *
     * @param x1 the X coordinate of the first specified point
     * @param y1 the Y coordinate of the first specified point
     * @param x2 the X coordinate of the second specified point
     * @param y2 the Y coordinate of the second specified point
     * @return the distance between the two sets of specified
     * coordinates.
     * @since 1.2
     */
    public static double distance(double x1, double y1,
                                  double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return Math.sqrt(x1 * x1 + y1 * y1);
    }
}",1.0,2,7,3
3,"public class MINSET {
/**
     * Returns the lower of the two value supplied, ignoring values less than 
     * 0 unless both are less than zero.
     */
    private long minSet(long value1, long value2)
    {
        if (value1 < 0)
        {
            return value2;
        }
        else if (value2 < 0)
        {
            return value1;
        }
        return Math.min(value1, value2);
    }
}",3.0,2,19,5
4,"public class MAXSET {
/**
     * Returns the higher (common denominator) of the two value supplied.
     * If either value is less than 0, -1 is returned.
     */
    private long maxSet(long value1, long value2)
    {
        if (value1 < 0 || value2 < 0)
        {
            return -1;
        }
        return Math.max(value1, value2);
    }
}",3.0,2,20,3
5,"public class LOOKFORSELECTABLEPOSITION {
/**
     * Find a position that can be selected (i.e., is not a separator).
     *
     * @param position The starting position to look at.
     * @param lookDown Whether to look down for other positions.
     * @return The next selectable position starting at position and then searching either up or
     *         down. Returns {@link #INVALID_POSITION} if nothing can be found.
     */
    int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
    }
}",1.0,2,21,2
6,"public class TRUNCATE {
/**
		 * Sets the RGB between 0 and 255
		 *
		 * @param a
		 * @return
		 */
		private static int truncate(int a) {
			if (a < 0)
				return 0;
			else if (a > 255)
				return 255;
			else
				return a;
		}
}",3.0,1,7,3
7,"public class GETVALIDINTERVAL {
/**
	 * method to calculate an appropriate interval for flicker lines
	 * 
	 * @param a_value
	 * @return
	 */
	private static int getValidInterval(int a_value){
		if(a_value < 0) return 0;
		if(a_value > 255) return 255;
		return a_value;
	}
}",3.0,1,9,3
8,"public class GETALTITUDE {
/**
     * Computes the Altitude in meters from the atmospheric pressure and the
     * pressure at sea level.
     * <p>
     * Typically the atmospheric pressure is read from a
     * {@link Sensor#TYPE_PRESSURE} sensor. The pressure at sea level must be
     * known, usually it can be retrieved from airport databases in the
     * vicinity. If unknown, you can use {@link #PRESSURE_STANDARD_ATMOSPHERE}
     * as an approximation, but absolute altitudes won't be accurate.
     * </p>
     * <p>
     * To calculate altitude differences, you must calculate the difference
     * between the altitudes at both points. If you don't know the altitude
     * as sea level, you can use {@link #PRESSURE_STANDARD_ATMOSPHERE} instead,
     * which will give good results considering the range of pressure typically
     * involved.
     * </p>
     * <p>
     * <code><ul>
     *  float altitude_difference =
     *      getAltitude(SensorManager.PRESSURE_STANDARD_ATMOSPHERE, pressure_at_point2)
     *      - getAltitude(SensorManager.PRESSURE_STANDARD_ATMOSPHERE, pressure_at_point1);
     * </ul></code>
     * </p>
     *
     * @param p0 pressure at sea level
     * @param p atmospheric pressure
     * @return Altitude in meters
     */
   public static float getAltitude(float p0, float p) {
        final float coef = 1.0f / 5.255f;
        return 44330.0f * (1.0f - (float)Math.pow(p/p0, coef));
    }
}",1.0,23,119,2
9,"public class SETPSRTPROGRAMTYPE {
/**
    *  Set the Program Type to be used for Continuously transmit
    *  RDS/RBDS Program Service information and RDS/RBDS RadioText
    *  information.
    *  <p>
    *  This is a function to set the Program Type to be used while
    *  transmitting Program Service and Radio Text Information.
    *  <p>
    *  Included in the Program Service information is an RDS/RBDS program type (PTY), and
    *  one or more Program Service strings. The program type (PTY)
    *  is used to describe the content being transmitted and follows
    *  the RDS/RBDS program types described in the RDS/RBDS
    *  specifications.
    *  <p>
    *  Included in the RadioText information is an RDS/RBDS program type (PTY),
    *  and a single string of up to 64 characters. The program type (PTY) is used
    *  to describe the content being transmitted and follows the RDS/RBDS program
    *  types described in the RDS/RBDS specifications.
    *
    *  Note: If the PS or RT transmission is currently active, the
    *  PTY change will take effect when the current transmission is
    *  complete. Typically  setPSRTProgramType should be called
    *  before {@link #setPSInfo} or {@link #setRTInfo} is started.
    *
    *  @param pty the program type to use in the program Service
    *             information and Radio Text information.
    *
    *  @return true if the driver was updated to use the new
    *             Program Type, false if the driver could not be
    *             updated.
    *
    *  @see #setPSInfo
    *  @see #setRTInfo
    *
    */
   public boolean setPSRTProgramType(int pty){
      boolean bStatus = false;

      return bStatus;
   }
}",1.0,28,202,2
