Class Name,Function,SPF Results,JQF Valid,JQF Failures
GETMASK,getMask,"9 test cases, 0 exceptions","['[1994145609]', '[0]', '[5]', '[4]', '[2]']",[]
INTTOHEXDIGITMSB0,intToHexDigitMsb0,"17 test cases, 1 exceptions",[],['[1912603126]']
ISNUMERIC,isNumeric,"17 test cases, 0 exceptions","['[232817336]', '[0]', '[14]', '[1]', '[11]', '[12]', '[7]', '[6]']",[]
GETEUROPEANDIGIT,getEuropeanDigit,"9 test cases, 0 exceptions","['[1593416713]', '[-1903241435]', '[39945]']",[]
USESAN,usesAn,"11 test cases, 0 exceptions","['[ã²•]', '[E]', '[I]', '[H]', '[a]', '[O]']",[]
COLORCOMPONENTABSOLUTE,colorComponentAbsolute,"19 test cases, 10 exceptions","['[0.20089126, 0.90057516, 0.59151983, 0.7951877, 0.8842941]', '[0.99776626, 0.9203707, 0.03422326, 0.4619273, 0.54925454]', '[0.70955825, 0.1795479, 0.7939759, 0.81796944, 0.15713495]', '[0.56856704, 0.26478767, 0.90637493, 0.22982937, 0.5563394]', '[0.20089126, 0.16137838, 0.44442046, 0.044730008, 0.72527075]']",[]
TOJAVASECS,toJavaSecs,"3 test cases, 0 exceptions","['[-8498624097974006656]', '[9095902087563549767]']",[]
TOPGSECS,toPgSecs,"3 test cases, 0 exceptions","['[6531203690080990914]', '[-3845089849785029059]']",[]
REVERSE,reverse,No path condition,['[1602526665534058741]'],[]
NEXTHIGHESTPOWEROFTWO,nextHighestPowerOfTwo,No path condition,['[-73827611]'],[]
BITCOUNT,bitCount,No path condition,['[6213434489718269007]'],[]
CALCULATEUNPINNEDSTEPSIZE,calculateUnpinnedStepSize,"3 test cases, 0 exceptions","['[-1708994244]', '[90599560]', '[302921]']",[]
DECODEHEXDIGIT,decodeHexDigit,"7 test cases, 0 exceptions","['[춠]', '[J]', '[\x00]', '[8]', '[F]', '[e]']",[]
COMPARE,compare,"3 test cases, 0 exceptions","['[0.8580642145852232, 0.2929983634658988]', '[0.0, 0.0]', '[0.05437772982182898, 0.5482594843991112]']",[]
TOCODEPOINT,,No path condition,['[æ“¥]'],[]
