class_name,cyclomatic_complexity,javadoc_length,tokens,LOC,choco_error_1,choco_error_2,choco_status,z3_error,z3_bitvector_error
INCOMPLETEGAMMA,12.0,5,33,53,Error: bug in setConstraintIndex i:1 - Choco real constraint bug,JPF symbolic execution,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class INCOMPLETEGAMMA (Index: 1) | ================================================== | ERROR 1 (er1): | java.lang.RuntimeException | at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3BitVector.div(ProblemZ3BitVector.java:750) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:295) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:284) | at gov.nasa.jpf.symbc.numeric.PCParser.createDPRealConstraint(PCParser.java:447) | at gov.nasa.jpf.symbc.numeric.PCP...
BINROOT,4.0,4,30,14,SKIPPED (Index 4),SKIPPED (Index 4),SKIPPED,No Z3 error info,No Z3 bitvector error info
VALIDATELENGTHS,5.0,3,33,12,ClassCastException: ObjectList$Node cannot be cast to IntegerExpression,JPF symbolic execution,FAILED,ER1: java.lang.ClassCastException: gov.nasa.jpf.util.ObjectList$Node cannot be cast to gov.nasa.jpf.symbc.numeric.IntegerExpression  | ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class VALIDATELENGTHS (Index: 6) | ================================================== | ERROR 1 (er1): | java.lang.ClassCastException: gov.nasa.jpf.util.ObjectList$Node cannot be cast to gov.nasa.jpf.symbc.numeric.IntegerExpression | at gov.nasa.jpf.symbc.bytecode.optimization.IF_ICMPGE.execute(IF_ICMPGE.java:59) | at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) | at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) | at gov.nasa.jpf.vm.SystemSta...
GETWRAPPEDVALUE,4.0,4,26,10,RuntimeException: BinaryNonLinearSolution solution: l -9223372034707292160 op % r 2,IllegalArgumentException: MIN > MAX (Found 1 error condition),PARTIAL_SUCCESS,ER1: java.lang.RuntimeException: ## Error: BinaryNonLinearSolution solution: l 0 op % r 2  | ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class GETWRAPPEDVALUE (Index: 8) | ================================================== | ERROR 1 (er1): | java.lang.RuntimeException: ## Error: BinaryNonLinearSolution solution: l 0 op  %  r 2147483651 | at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpression.solution(BinaryNonLinearIntegerExpression.java:73) | at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpression.solution(BinaryNonLinearIntegerExpression.java:61) | at gov.nasa.jpf.symbc.SymbolicListener.instructionExecu...
POWM1,7.0,4,38,10,No error,Cannot load application class demo.Distance,FAILED,No Z3 error info,Function: class POWM1 (Index: 10) | ================================================== | ERROR 1 (er1): | ERROR 2 (er2): | symbolic.min_int=-2147483648 | symbolic.min_long=-9223372036854775808 | symbolic.min_short=-32768 | symbolic.min_byte=-128 | symbolic.min_char=0 | symbolic.max_int=2147483647 | symbolic.max_long=9223372036854775807 | symbolic.max_short=32767 | symbolic.max_byte=127 | symbolic.max_char=65535 | symbolic.min_double=4.9E-324 | symbolic.max_double=1.7976931348623157E308 | [SEVERE...
WRAPANGLETO180_DOUBLE,3.0,1,17,6,RuntimeException: ## Error: SYMBOLIC DREM not supported,JPF symbolic execution,FAILED,No Z3 error info,Function: class WRAPANGLETO180_DOUBLE (Index: 14) | ================================================== | ERROR 1 (er1): | java.lang.RuntimeException: ## Error: SYMBOLIC DREM not supported | at gov.nasa.jpf.symbc.bytecode.DREM.execute(DREM.java:70) | at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) | at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) | at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) | at gov.nasa.jpf.vm.VM.forwar...
VOLTAGE_TO_INTENSITY_SRGB,4.0,2,12,9,No error,Cannot load application class demo.Distance,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class VOLTAGE_TO_INTENSITY_SRGB (Index: 15) | ================================================== | ERROR 1 (er1): | ERROR 2 (er2): | symbolic.min_int=-2147483648 | symbolic.min_long=-9223372036854775808 | symbolic.min_short=-32768 | symbolic.min_byte=-128 | symbolic.min_char=0 | symbolic.max_int=2147483647 | symbolic.max_long=9223372036854775807 | symbolic.max_short=32767 | symbolic.max_byte=127 | symbolic.max_char=65535 | symbolic.min_double=4.9E-324 | symbolic.max_double=1.7976931348...
CONVERTTEMPO,2.0,3,14,3,Error: bug in setConstraintIndex i:1 - Choco real constraint bug,JPF symbolic execution,FAILED,ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class CONVERTTEMPO (Index: 18) | ================================================== | ERROR 1 (er1): | java.lang.AssertionError | at gov.nasa.jpf.symbc.numeric.BinaryRealExpression.solution(BinaryRealExpression.java:63) | at gov.nasa.jpf.symbc.SymbolicListener.instructionExecuted(SymbolicListener.java:329) | at gov.nasa.jpf.vm.VM.notifyInstructionExecuted(VM.java:808) | at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1922) | at gov.nasa.jpf.vm.ThreadInfo.executeTransit...
SUBTRACTEXACT,2.0,2,16,4,AssertionError at ProblemChoco.makeIntVar,JPF symbolic execution,FAILED,ER1: java.lang.RuntimeException: ## Error Z3  | ER2: symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbol...,Function: class SUBTRACTEXACT (Index: 19) | ================================================== | ERROR 1 (er1): | java.lang.RuntimeException: Symbolic variable bound -9223372036854775808 is outside the permitted range for bitvector length 32 | at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3BitVector.checkBounds(ProblemZ3BitVector.java:139) | at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3BitVector.makeIntVar(ProblemZ3BitVector.java:198) | at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCPa...
ERFINVIMP,6.0,1,8,149,Error: bug in setConstraintIndex i:1 - Choco real constraint bug,JPF symbolic execution,FAILED,No Z3 error info,No Z3 bitvector error info
