Index,Class Name,Error 1 (er1),Error 2 (er2)
0,GREATESTCOMMONDIVISOR,"RuntimeException: ## Error Z3; ArithmeticException: overflow: gcd is 2^31","JPF symbolic execution; ArithmeticException: overflow: gcd is 2^31"
1,INCOMPLETEGAMMA,"AssertionError at BinaryRealExpression.solution","JPF exception termination"
2,GETHIGHBIT,"RuntimeException: ## Error Z3 at ProblemZ3.shiftR","JPF symbolic execution"
3,SFEXACT,"RuntimeException: ## Error Z3 at ProblemZ3.mixed","JPF symbolic execution"
4,BINROOT,"ASSERTION VIOLATION in Z3; UnsatisfiedLinkError: INTERNALgetErrorMsgEx","JPF exception termination"
5,CHECKDOUBLEPRECISE,"RuntimeException: ## Error Z3 at ProblemZ3.mixed","JPF symbolic execution"
6,VALIDATELENGTHS,"ClassCastException: ObjectList$Node cannot be cast to IntegerExpression","JPF symbolic execution"
7,GETDEVIANCEPART,"RuntimeException: ## Error Z3 at ProblemZ3.mixed","JPF symbolic execution"
8,GETWRAPPEDVALUE,"RuntimeException: BinaryNonLinearSolution solution: l 0 op % r 2; IllegalArgumentException: MIN > MAX","JPF exception termination"
9,LOG2,"RuntimeException: ## Error Z3 at ProblemZ3.shiftR; IllegalArgumentException: 0 <= 0","JPF symbolic execution"
10,POWM1,"Build failed","Cannot load application class demo.Distance"
11,GETDATAMASKBIT,"RuntimeException: ## Error Z3 at ProblemZ3.and","JPF symbolic execution"
12,GCDLONGADAPTEDFORINT,"RuntimeException: ## Error Z3 at ProblemZ3.shiftL","JPF symbolic execution"
13,ISLATINCHAR,"RuntimeException: ## Error Z3 at ProblemZ3.shiftUR","JPF symbolic execution"
14,WRAPANGLETO180_DOUBLE,"RuntimeException: SYMBOLIC DREM not supported","JPF symbolic execution"
15,VOLTAGE_TO_INTENSITY_SRGB,"Build failed","Cannot load application class demo.Distance"
16,UNSIGNEDLEB128SIZE,"RuntimeException: ## Error Z3 at ProblemZ3.shiftUR","JPF symbolic execution"
17,GETROLLEDVALUE,"RuntimeException: BinaryNonLinearSolution solution: l 1 op % r 2; AssertionError","JPF exception termination"
18,CONVERTTEMPO,"AssertionError at BinaryRealExpression.solution","JPF exception termination"
19,SUBTRACTEXACT,"RuntimeException: ## Error Z3 at ProblemZ3.xor","JPF symbolic execution"
20,GETCOMPONENTINDEX,"RuntimeException: ## Error Z3 at ProblemZ3.and","JPF symbolic execution"
21,GETSTANDARDBOLDERFONTWEIGHT,"RuntimeException: ## Error Z3 at ProblemZ3.mixed","JPF symbolic execution"
22,GETBOLDERFONTWEIGHT,"RuntimeException: ## Error Z3 at ProblemZ3.mixed","JPF symbolic execution"
23,BILINEARINTERPOLATE,"RuntimeException: ## Error Z3 at ProblemZ3.shiftR","JPF symbolic execution"
24,GETLIGHTERFONTWEIGHT,"RuntimeException: ## Error Z3 at ProblemZ3.mixed","JPF symbolic execution"
25,ERFINVIMP,"RuntimeException: Math.log not supported","JPF symbolic execution"
26,SATURATION,"RuntimeException: ## Error Z3 at ProblemZ3.shiftR","JPF symbolic execution"
27,VOCALTRACTCOMPENSATION,"RuntimeException: Math.power not supported","JPF symbolic execution"
28,BINARYGCD,"RuntimeException: ## Error Z3 at ProblemZ3.shiftL","JPF symbolic execution"
29,CEIL_LG2,"RuntimeException: ## Error Z3 at ProblemZ3.shiftR; AssertionError","JPF symbolic execution"
30,HYPOT,"AssertionError at BinaryRealExpression.solution","JPF exception termination"
31,BRIGHTNESS,"RuntimeException: ## Error Z3 at ProblemZ3.shiftR","JPF symbolic execution"
32,UNRANDOMIZE255STATE,"RuntimeException: BinaryNonLinearSolution solution: l 0 op % r 255","JPF exception termination"
33,NEXTRAND,"Build failed","Cannot load application class demo.Distance"
34,COMPARENUMBERS,"Build failed","Cannot load application class demo.Distance"
35,TOINT64,"RuntimeException: ## Error Z3 at ProblemZ3.mixed","JPF symbolic execution"
36,HYPERGEOMETRIC,"RuntimeException: ## Error Z3 at ProblemZ3.mixed; IllegalArgumentException: Invalid hypergeometric","JPF symbolic execution"
37,HSBTORGB,"RuntimeException: ## Error Z3 at ProblemZ3.mixed","JPF symbolic execution"
38,INVERSEERF,"RuntimeException: Math.log not supported","JPF symbolic execution"
39,ISCASED,"RuntimeException: ## Error Z3 at ProblemZ3.shiftUR","JPF symbolic execution"
40,ALPHABLEND,"RuntimeException: ## Error Z3 at ProblemZ3.and","JPF symbolic execution"
41,GETMINRATING,"Build failed","Cannot load application class demo.Distance"
42,ISVALIDTOKENCHAR,"Build failed","Cannot load application class demo.Distance"
43,NUMBEROFTRAILINGZEROS,"RuntimeException: ## Error Z3 at ProblemZ3.shiftL","JPF symbolic execution"
44,INTPOW,"RuntimeException: ## Error Z3 at ProblemZ3.and","JPF symbolic execution"
45,SMALLESTCHANGE,"UnsatisfiedLinkError: INTERNALgetErrorMsgEx","JPF symbolic execution"
46,PREPARESETTINGS,"ClassCastException: ObjectList$Node cannot be cast to IntegerExpression","JPF symbolic execution"
47,CHECKFROMINDEXSIZE,"RuntimeException: ## Error Z3 at ProblemZ3.or","JPF symbolic execution"
48,NEXTDOWN,"UnsatisfiedLinkError: INTERNALgetErrorMsgEx","JPF symbolic execution"
