Functions,cyclomatic_complexity
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam > 0;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 2;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 0;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1 || numParam == 2;
	}
}",2
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam >= 0;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam >= 0;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 2;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 0;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 2;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 0;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
