"Function","cyclomatic_complexity"
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}","1"
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam > 0;
	}
}","1"
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 2;
	}
}","1"
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 0;
	}
}","1"
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam == 1 || numParam == 2;
	}
}","2"
"public class Acceptnumparam {

	public boolean acceptnumparam(int numParam) {
		return numParam >= 0;
	}
}","1"
"public class Mbtobyte {
        public static long mbtobyte(final long mbytes)
    {
        final int MB_TO_BYTE = 1048576;
        return mbytes * MB_TO_BYTE;
    }
}","1"
"public class Istokenexpired {

    public static boolean istokenexpired(final long tokenExpiryTime)
    {
        return tokenExpiryTime < System.currentTimeMillis();
    }
}","1"
"public class Distancesq {

    public static double distancesq(double x1, double y1,
                                    double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return (x1 * x1 + y1 * y1);
    }
}","1"
"public class Distance {

    public static double distance(double x1, double y1,
                                  double x2, double y2)
    {
        x1 -= x2;
        y1 -= y2;
        return Math.sqrt(x1 * x1 + y1 * y1);
    }
}","1"
"public class Fontsize {

    public int fontsize(int pt, int dpi) {
        return (int) ( ((float) pt) / 72f * ((float) dpi) );
    }
}","1"
"public class Toalfrescolocktimeout {

    public static int toalfrescolocktimeout(int timeout)
    {
        return timeout * 60;
    }
}","1"
"public class Randomnumber {

    public int randomnumber (int min, int max)
    {
        return min + (int)(Math.random() * ((max - min) + 1));
    }
}","1"
"public class Restartat {

    public boolean restartat(int resumeId) {
        return false;
    }
}","1"
"public class Restartat {

  public boolean restartat(int resumeId) {
    
    //	Cannot restart the search
    
    return false;
  }
}","1"
"public class Rounduplongsize {

	public static long rounduplongsize(long lSize) {
	    return ( lSize + 512L) & 0xFFFFFFFFFFFFFE00L;
	}
}","1"
"public class Roundupintsize {

	public static int roundupintsize(int iSize) {
	    return ( iSize + 512) & 0xFFFFFE00;
	}
}","1"
"public class Setbulkfetch {

    public boolean setbulkfetch(boolean bulkFetch)
    {
    	return false;
    }
}","1"
"public class Setbulkfetchsize {

    public int setbulkfetchsize(int bulkFetchSize)
    {
    	return 0;
    }
}","1"
"public class Minset {

    public long minset(long value1, long value2)
    {
        if (value1 < 0)
        {
            return value2;
        }
        else if (value2 < 0)
        {
            return value1;
        }
        return Math.min(value1, value2);
    }
}","3"
"public class Maxset {

    public long maxset(long value1, long value2)
    {
        if (value1 < 0 || value2 < 0)
        {
            return -1;
        }
        return Math.max(value1, value2);
    }
}","3"
"public class Lookforselectableposition {

    int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
    }
}","1"
"public class Getitemid {
    	public long getitemid(int position) {
		// TODO Auto-generated method stub
		return 0;
	}
}","1"
"public class Truncate {

		public static int truncate(int a) {
			if (a < 0)
				return 0;
			else if (a > 255)
				return 255;
			else
				return a;
		}
}","3"
"public class Getvalidinterval {

	public static int getvalidinterval(int a_value){
		if(a_value < 0) return 0;
		if(a_value > 255) return 255;
		return a_value;
	}
}","3"
"public class Iswhitespace {

    protected static boolean iswhitespace(byte byteToCheck) {
        switch (byteToCheck) {
            case ' ' :
            case '\n' :
            case '\r' :
            case '\t' :
                return true;
            default :
                return false;
        }
    }
}","2"
"public class Istokenseparator {

    protected boolean istokenseparator(char ch) {
        return (ch == ',');
    }
}","1"
"public class Iswhitespace {

    protected boolean iswhitespace(char ch) {

        // we do not use Character.isWhitspace(ch) here, since that allows
        // many control characters which are not whitespace as per RFC 2616
        return ((ch == '\t') || Character.isSpaceChar(ch));
    }
}","2"
"public class Equals {

	public static boolean equals(float f1, float f2, float delta) {
		return Math.abs(f1 - f2) <= delta;
	}
}","1"
"public class Equals {

	public static boolean equals(double f1, double f2, double delta) {
		return Math.abs(f1 - f2) <= delta;
	}
}","1"
"public class Decodedigit {

	static int decodeDigit(byte data) {
		char charData = (char) data;
		if (charData <= 'Z' && charData >= 'A')
			return charData - 'A';
		if (charData <= 'z' && charData >= 'a')
			return charData - 'a' + 26;
		if (charData <= '9' && charData >= '0')
			return charData - '0' + 52;
		switch (charData) {
			case '+' :
				return 62;
			case '/' :
				return 63;
			default :
				throw new IllegalArgumentException(""Invalid char to decode: "" + data); //$NON-NLS-1$
		}
	}
}","8"
"public class Getpasswordmaximumlength {

    public int getpasswordmaximumlength(int quality) {
        // Kind-of arbitrary.
        return 16;
    }
}","1"
