Functions,cyclomatic_complexity
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true for 1 or more parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam > 0;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 2 parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 2;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 1 parameter, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 1;
	}
}",1
"public class ACCEPTNUMPARAM {
/**
	Returns true only for 0 parameters, false otherwise.
	*/
	public boolean acceptnumparam(int numParam) {
		return numParam == 0;
	}
}",1
