Parameter,Function,Test Case,cyclomatic_complexity
"(int Side1, int Side2, int Side3)","public class Type {
public static int type(int Side1, int Side2, int Side3)
    {
        int tri_out;
        // tri_out is output from the routine:
        //    Triang = 1 if triangle is scalene
        //    Triang = 2 if triangle is isosceles
        //    Triang = 3 if triangle is equilateral
        //    Triang = 4 if not a triangle
        // After a quick confirmation that it's a legal
        // triangle, detect any sides of equal length
        if (Side1 <= 0 || Side2 <= 0 || Side3 <= 0)
        {
            tri_out = 4;
            return (tri_out);
        }

        tri_out = 0;
        if (Side1 == Side2)
            tri_out = tri_out + 1;
        if (Side1 == Side3)
            tri_out = tri_out + 2;
        if (Side2 == Side3)
            tri_out = tri_out + 3;
        if (tri_out == 0)
        {  // Confirm it's a legal triangle before declaring
            // it to be scalene

            if (Side1+Side2 <= Side3 || Side2+Side3 <= Side1 ||
                    Side1+Side3 <= Side2)
                tri_out = 4;
            else
                tri_out = 1;
            return (tri_out);
        }

        /* Confirm it's a legal triangle before declaring  */
        /* it to be isosceles or equilateral  */

        if (tri_out > 3)
            tri_out = 3;
        else if (tri_out == 1 && Side1+Side2 > Side3)
            tri_out = 2;
        else if (tri_out == 2 && Side1+Side3 > Side2)
            tri_out = 2;
        else if (tri_out == 3 && Side2+Side3 > Side1)
            tri_out = 2;
        else
            tri_out = 4;
        return (tri_out);
    }
}","@Test
    public void testIsosceles2() {
        Assert.assertEquals(trityp.type(10,10,2), 2);
    }",18
"(int Side1, int Side2, int Side3)","public class Type {
public static int type(int Side1, int Side2, int Side3)
    {
        int tri_out;
        // tri_out is output from the routine:
        //    Triang = 1 if triangle is scalene
        //    Triang = 2 if triangle is isosceles
        //    Triang = 3 if triangle is equilateral
        //    Triang = 4 if not a triangle
        // After a quick confirmation that it's a legal
        // triangle, detect any sides of equal length
        if (Side1 <= 0 || Side2 <= 0 || Side3 <= 0)
        {
            tri_out = 4;
            return (tri_out);
        }

        tri_out = 0;
        if (Side1 == Side2)
            tri_out = tri_out + 1;
        if (Side1 == Side3)
            tri_out = tri_out + 2;
        if (Side2 == Side3)
            tri_out = tri_out + 3;
        if (tri_out == 0)
        {  // Confirm it's a legal triangle before declaring
            // it to be scalene

            if (Side1+Side2 <= Side3 || Side2+Side3 <= Side1 ||
                    Side1+Side3 <= Side2)
                tri_out = 4;
            else
                tri_out = 1;
            return (tri_out);
        }

        /* Confirm it's a legal triangle before declaring  */
        /* it to be isosceles or equilateral  */

        if (tri_out > 3)
            tri_out = 3;
        else if (tri_out == 1 && Side1+Side2 > Side3)
            tri_out = 2;
        else if (tri_out == 2 && Side1+Side3 > Side2)
            tri_out = 2;
        else if (tri_out == 3 && Side2+Side3 > Side1)
            tri_out = 2;
        else
            tri_out = 4;
        return (tri_out);
    }
}","@Test
    public void testNotTriangle12() {
        int v = trityp.type(1,2,2);
        Assert.assertEquals(v, 2);
    }",18
"(int Side1, int Side2, int Side3)","public class Type {
public static int type(int Side1, int Side2, int Side3)
    {
        int tri_out;
        // tri_out is output from the routine:
        //    Triang = 1 if triangle is scalene
        //    Triang = 2 if triangle is isosceles
        //    Triang = 3 if triangle is equilateral
        //    Triang = 4 if not a triangle
        // After a quick confirmation that it's a legal
        // triangle, detect any sides of equal length
        if (Side1 <= 0 || Side2 <= 0 || Side3 <= 0)
        {
            tri_out = 4;
            return (tri_out);
        }

        tri_out = 0;
        if (Side1 == Side2)
            tri_out = tri_out + 1;
        if (Side1 == Side3)
            tri_out = tri_out + 2;
        if (Side2 == Side3)
            tri_out = tri_out + 3;
        if (tri_out == 0)
        {  // Confirm it's a legal triangle before declaring
            // it to be scalene

            if (Side1+Side2 <= Side3 || Side2+Side3 <= Side1 ||
                    Side1+Side3 <= Side2)
                tri_out = 4;
            else
                tri_out = 1;
            return (tri_out);
        }

        /* Confirm it's a legal triangle before declaring  */
        /* it to be isosceles or equilateral  */

        if (tri_out > 3)
            tri_out = 3;
        else if (tri_out == 1 && Side1+Side2 > Side3)
            tri_out = 2;
        else if (tri_out == 2 && Side1+Side3 > Side2)
            tri_out = 2;
        else if (tri_out == 3 && Side2+Side3 > Side1)
            tri_out = 2;
        else
            tri_out = 4;
        return (tri_out);
    }
}","@Test
    public void testNotTriangle8() {
        Assert.assertEquals(trityp.type(5,11,5), 4);
    }",18
"(int Side1, int Side2, int Side3)","public class Type {
public static int type(int Side1, int Side2, int Side3)
    {
        int tri_out;
        // tri_out is output from the routine:
        //    Triang = 1 if triangle is scalene
        //    Triang = 2 if triangle is isosceles
        //    Triang = 3 if triangle is equilateral
        //    Triang = 4 if not a triangle
        // After a quick confirmation that it's a legal
        // triangle, detect any sides of equal length
        if (Side1 <= 0 || Side2 <= 0 || Side3 <= 0)
        {
            tri_out = 4;
            return (tri_out);
        }

        tri_out = 0;
        if (Side1 == Side2)
            tri_out = tri_out + 1;
        if (Side1 == Side3)
            tri_out = tri_out + 2;
        if (Side2 == Side3)
            tri_out = tri_out + 3;
        if (tri_out == 0)
        {  // Confirm it's a legal triangle before declaring
            // it to be scalene

            if (Side1+Side2 <= Side3 || Side2+Side3 <= Side1 ||
                    Side1+Side3 <= Side2)
                tri_out = 4;
            else
                tri_out = 1;
            return (tri_out);
        }

        /* Confirm it's a legal triangle before declaring  */
        /* it to be isosceles or equilateral  */

        if (tri_out > 3)
            tri_out = 3;
        else if (tri_out == 1 && Side1+Side2 > Side3)
            tri_out = 2;
        else if (tri_out == 2 && Side1+Side3 > Side2)
            tri_out = 2;
        else if (tri_out == 3 && Side2+Side3 > Side1)
            tri_out = 2;
        else
            tri_out = 4;
        return (tri_out);
    }
}","@Test
    public void testNotTriangle11() {
        int v = trityp.type(3,1,1);
        Assert.assertEquals(v, 4);
    }",18
"(int Side1, int Side2, int Side3)","public class Type {
public static int type(int Side1, int Side2, int Side3)
    {
        int tri_out;
        // tri_out is output from the routine:
        //    Triang = 1 if triangle is scalene
        //    Triang = 2 if triangle is isosceles
        //    Triang = 3 if triangle is equilateral
        //    Triang = 4 if not a triangle
        // After a quick confirmation that it's a legal
        // triangle, detect any sides of equal length
        if (Side1 <= 0 || Side2 <= 0 || Side3 <= 0)
        {
            tri_out = 4;
            return (tri_out);
        }

        tri_out = 0;
        if (Side1 == Side2)
            tri_out = tri_out + 1;
        if (Side1 == Side3)
            tri_out = tri_out + 2;
        if (Side2 == Side3)
            tri_out = tri_out + 3;
        if (tri_out == 0)
        {  // Confirm it's a legal triangle before declaring
            // it to be scalene

            if (Side1+Side2 <= Side3 || Side2+Side3 <= Side1 ||
                    Side1+Side3 <= Side2)
                tri_out = 4;
            else
                tri_out = 1;
            return (tri_out);
        }

        /* Confirm it's a legal triangle before declaring  */
        /* it to be isosceles or equilateral  */

        if (tri_out > 3)
            tri_out = 3;
        else if (tri_out == 1 && Side1+Side2 > Side3)
            tri_out = 2;
        else if (tri_out == 2 && Side1+Side3 > Side2)
            tri_out = 2;
        else if (tri_out == 3 && Side2+Side3 > Side1)
            tri_out = 2;
        else
            tri_out = 4;
        return (tri_out);
    }
}","@Test
    public void testNotTriangle10() {
        Assert.assertEquals(trityp.type(1,3,1), 4);
    }",18
"(int Side1, int Side2, int Side3)","public class Type {
public static int type(int Side1, int Side2, int Side3)
    {
        int tri_out;
        // tri_out is output from the routine:
        //    Triang = 1 if triangle is scalene
        //    Triang = 2 if triangle is isosceles
        //    Triang = 3 if triangle is equilateral
        //    Triang = 4 if not a triangle
        // After a quick confirmation that it's a legal
        // triangle, detect any sides of equal length
        if (Side1 <= 0 || Side2 <= 0 || Side3 <= 0)
        {
            tri_out = 4;
            return (tri_out);
        }

        tri_out = 0;
        if (Side1 == Side2)
            tri_out = tri_out + 1;
        if (Side1 == Side3)
            tri_out = tri_out + 2;
        if (Side2 == Side3)
            tri_out = tri_out + 3;
        if (tri_out == 0)
        {  // Confirm it's a legal triangle before declaring
            // it to be scalene

            if (Side1+Side2 <= Side3 || Side2+Side3 <= Side1 ||
                    Side1+Side3 <= Side2)
                tri_out = 4;
            else
                tri_out = 1;
            return (tri_out);
        }

        /* Confirm it's a legal triangle before declaring  */
        /* it to be isosceles or equilateral  */

        if (tri_out > 3)
            tri_out = 3;
        else if (tri_out == 1 && Side1+Side2 > Side3)
            tri_out = 2;
        else if (tri_out == 2 && Side1+Side3 > Side2)
            tri_out = 2;
        else if (tri_out == 3 && Side2+Side3 > Side1)
            tri_out = 2;
        else
            tri_out = 4;
        return (tri_out);
    }
}","@Test
    public void testNotTriangle9() {
        Assert.assertEquals(trityp.type(1,1,3), 4);
    }",18
"(int Side1, int Side2, int Side3)","public class Type {
public static int type(int Side1, int Side2, int Side3)
    {
        int tri_out;
        // tri_out is output from the routine:
        //    Triang = 1 if triangle is scalene
        //    Triang = 2 if triangle is isosceles
        //    Triang = 3 if triangle is equilateral
        //    Triang = 4 if not a triangle
        // After a quick confirmation that it's a legal
        // triangle, detect any sides of equal length
        if (Side1 <= 0 || Side2 <= 0 || Side3 <= 0)
        {
            tri_out = 4;
            return (tri_out);
        }

        tri_out = 0;
        if (Side1 == Side2)
            tri_out = tri_out + 1;
        if (Side1 == Side3)
            tri_out = tri_out + 2;
        if (Side2 == Side3)
            tri_out = tri_out + 3;
        if (tri_out == 0)
        {  // Confirm it's a legal triangle before declaring
            // it to be scalene

            if (Side1+Side2 <= Side3 || Side2+Side3 <= Side1 ||
                    Side1+Side3 <= Side2)
                tri_out = 4;
            else
                tri_out = 1;
            return (tri_out);
        }

        /* Confirm it's a legal triangle before declaring  */
        /* it to be isosceles or equilateral  */

        if (tri_out > 3)
            tri_out = 3;
        else if (tri_out == 1 && Side1+Side2 > Side3)
            tri_out = 2;
        else if (tri_out == 2 && Side1+Side3 > Side2)
            tri_out = 2;
        else if (tri_out == 3 && Side2+Side3 > Side1)
            tri_out = 2;
        else
            tri_out = 4;
        return (tri_out);
    }
}","@Test
    public void testIsosceles3() {
        Assert.assertEquals(4 /*scalene*/, trityp.type(3,5,8));
    }",18
"(int x, int y, int z)","public class Median {
static int median (int x, int y, int z) {
        int m = z;
        if (y < z) {
            if (x < y)
                m = y;
            else if (x < z)
                m = x;
        }
        else {
            if (x > y)
                m = y;
            else if (x > z)
                m = x;
        }

        // assertions below added to express correctness -- see
        // Yang et al.'s ICSE 2014 paper on iProperty for details

        assert x == y || x == z ? m == x : true ; // #1
        assert y == z ? m == y : true ;         // #2
        assert x < z && z < y ? m == z : true ; // #3
        assert y < z && z < x ? m == z : true ; // #4
        assert x < y && y < z ? m == y : true ; // #5
        assert z < y && y < x ? m == y : true ; // #6
        assert y < x && x < z ? m == x : true ; // #7
        assert z < x && x < y ? m == x : true ; // #8

        return m;
    }
}","@Test
    public void midIsFirst() {
        Assert.assertEquals(2, median(2, 1, 3));
    }",13
"(int x, int y, int z)","public class Median {
static int median (int x, int y, int z) {
        int m = z;
        if (y < z) {
            if (x < y)
                m = y;
            else if (x < z)
                m = x;
        }
        else {
            if (x > y)
                m = y;
            else if (x > z)
                m = x;
        }

        // assertions below added to express correctness -- see
        // Yang et al.'s ICSE 2014 paper on iProperty for details

        assert x == y || x == z ? m == x : true ; // #1
        assert y == z ? m == y : true ;         // #2
        assert x < z && z < y ? m == z : true ; // #3
        assert y < z && z < x ? m == z : true ; // #4
        assert x < y && y < z ? m == y : true ; // #5
        assert z < y && y < x ? m == y : true ; // #6
        assert y < x && x < z ? m == x : true ; // #7
        assert z < x && x < y ? m == x : true ; // #8

        return m;
    }
}","@Test
    public void midIsMiddle() {
        Assert.assertEquals(2, median(1, 2, 3));
    }",13
"(int Side1, int Side2, int Side3)","public class Type {
public static int type(int Side1, int Side2, int Side3)
    {
        int tri_out;
        // tri_out is output from the routine:
        //    Triang = 1 if triangle is scalene
        //    Triang = 2 if triangle is isosceles
        //    Triang = 3 if triangle is equilateral
        //    Triang = 4 if not a triangle
        // After a quick confirmation that it's a legal
        // triangle, detect any sides of equal length
        if (Side1 <= 0 || Side2 <= 0 || Side3 <= 0)
        {
            tri_out = 4;
            return (tri_out);
        }

        tri_out = 0;
        if (Side1 == Side2)
            tri_out = tri_out + 1;
        if (Side1 == Side3)
            tri_out = tri_out + 2;
        if (Side2 == Side3)
            tri_out = tri_out + 3;
        if (tri_out == 0)
        {  // Confirm it's a legal triangle before declaring
            // it to be scalene

            if (Side1+Side2 <= Side3 || Side2+Side3 <= Side1 ||
                    Side1+Side3 <= Side2)
                tri_out = 4;
            else
                tri_out = 1;
            return (tri_out);
        }

        /* Confirm it's a legal triangle before declaring  */
        /* it to be isosceles or equilateral  */

        if (tri_out > 3)
            tri_out = 3;
        else if (tri_out == 1 && Side1+Side2 > Side3)
            tri_out = 2;
        else if (tri_out == 2 && Side1+Side3 > Side2)
            tri_out = 2;
        else if (tri_out == 3 && Side2+Side3 > Side1)
            tri_out = 2;
        else
            tri_out = 4;
        return (tri_out);
    }
}","@Test
    public void testNotTriangle1() {
        Assert.assertEquals(trityp.type(2,1,3), 4);
    }",18
