Class Name,ER1,ER2
GREATESTCOMMONDIVISOR,java.lang.RuntimeException: ## Error Z3 at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3.and(ProblemZ3.java:971) at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:179) at gov.nasa.jpf.symbc.numeric.PCParser.createDPLinearIntegerConstraint(PCParser.java:730) at gov.nasa.jpf.symbc.numeric.PCParser.addConstraint(PCParser.java:1107) at gov.nasa.jpf.symbc.numeric.PCParser.parse(PCParser.java:1091) at gov.nasa.jpf.symbc.numeric.SymbolicConstraintsGeneral.isSatisfiable(SymbolicConstraintsGeneral.java:128) at gov.nasa.jpf.symbc.numeric.PathCondition.simplifyOld(PathCondition.java:393) at gov.nasa.jpf.symbc.numeric.PathCondition.simplify(PathCondition.java:340) at gov.nasa.jpf.symbc.bytecode.optimization.util.IFInstrSymbHelper.getNextInstructionAndSetPCChoice(IFInstrSymbHelper.java:490) at gov.nasa.jpf.symbc.bytecode.optimization.IFNE.execute(IFNE.java:67) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116),symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
GETHIGHBIT,java.lang.RuntimeException: ## Error Z3 at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3.shiftR(ProblemZ3.java:1036) at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:206) at gov.nasa.jpf.symbc.numeric.PCParser.createDPLinearIntegerConstraint(PCParser.java:746) at gov.nasa.jpf.symbc.numeric.PCParser.addConstraint(PCParser.java:1107) at gov.nasa.jpf.symbc.numeric.PCParser.parse(PCParser.java:1091) at gov.nasa.jpf.symbc.numeric.SymbolicConstraintsGeneral.isSatisfiable(SymbolicConstraintsGeneral.java:128) at gov.nasa.jpf.symbc.numeric.PathCondition.simplifyOld(PathCondition.java:393) at gov.nasa.jpf.symbc.numeric.PathCondition.simplify(PathCondition.java:340) at gov.nasa.jpf.symbc.bytecode.optimization.util.IFInstrSymbHelper.getNextInstructionAndSetPCChoice(IFInstrSymbHelper.java:574) at gov.nasa.jpf.symbc.bytecode.optimization.IF_ICMPLT.execute(IF_ICMPLT.java:64) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116),symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
SFEXACT,java.lang.RuntimeException: ## Error Z3 at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3.mixed(ProblemZ3.java:1062) at gov.nasa.jpf.symbc.numeric.PCParser.createDPMixedConstraint(PCParser.java:370) at gov.nasa.jpf.symbc.numeric.PCParser.addConstraint(PCParser.java:1110) at gov.nasa.jpf.symbc.numeric.PCParser.parse(PCParser.java:1091) at gov.nasa.jpf.symbc.numeric.SymbolicConstraintsGeneral.isSatisfiable(SymbolicConstraintsGeneral.java:128) at gov.nasa.jpf.symbc.numeric.PathCondition.simplifyOld(PathCondition.java:393) at gov.nasa.jpf.symbc.numeric.PathCondition.simplify(PathCondition.java:340) at gov.nasa.jpf.symbc.bytecode.I2D.execute(I2D.java:77) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116),symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
BINROOT,ASSERTION VIOLATION File: ..\..\src\api\api_ast.cpp Line: 906 UNREACHABLE CODE WAS REACHED. Z3 4.8.9.0 Please file an issue with this message and more detail about how you encountered it at https://github.com/Z3Prover/z3/issues/new,symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
CHECKDOUBLEPRECISE,java.lang.RuntimeException: ## Error Z3 at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3.mixed(ProblemZ3.java:1062) at gov.nasa.jpf.symbc.numeric.PCParser.createDPMixedConstraint(PCParser.java:370) at gov.nasa.jpf.symbc.numeric.PCParser.addConstraint(PCParser.java:1110) at gov.nasa.jpf.symbc.numeric.PCParser.parse(PCParser.java:1091) at gov.nasa.jpf.symbc.numeric.SymbolicConstraintsGeneral.isSatisfiable(SymbolicConstraintsGeneral.java:128) at gov.nasa.jpf.symbc.numeric.PathCondition.simplifyOld(PathCondition.java:393) at gov.nasa.jpf.symbc.numeric.PathCondition.simplify(PathCondition.java:340) at gov.nasa.jpf.symbc.bytecode.D2I.execute(D2I.java:80) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116),symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
VALIDATELENGTHS,java.lang.ClassCastException: gov.nasa.jpf.util.ObjectList$Node cannot be cast to gov.nasa.jpf.symbc.numeric.IntegerExpression at gov.nasa.jpf.symbc.bytecode.optimization.IF_ICMPGE.execute(IF_ICMPGE.java:59) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:189) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116),symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
GETDEVIANCEPART,java.lang.RuntimeException: ## Error Z3 at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3.mixed(ProblemZ3.java:1062) at gov.nasa.jpf.symbc.numeric.PCParser.createDPMixedConstraint(PCParser.java:370) at gov.nasa.jpf.symbc.numeric.PCParser.addConstraint(PCParser.java:1110) at gov.nasa.jpf.symbc.numeric.PCParser.parse(PCParser.java:1091) at gov.nasa.jpf.symbc.numeric.SymbolicConstraintsGeneral.isSatisfiable(SymbolicConstraintsGeneral.java:128) at gov.nasa.jpf.symbc.numeric.PathCondition.simplifyOld(PathCondition.java:393) at gov.nasa.jpf.symbc.numeric.PathCondition.simplify(PathCondition.java:340) at gov.nasa.jpf.symbc.bytecode.I2D.execute(I2D.java:77) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116),symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
GETWRAPPEDVALUE,java.lang.RuntimeException: ## Error: BinaryNonLinearSolution solution: l 0 op % r 2 at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpression.solution(BinaryNonLinearIntegerExpression.java:73) at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpression.solution(BinaryNonLinearIntegerExpression.java:61) at gov.nasa.jpf.symbc.SymbolicListener.instructionExecuted(SymbolicListener.java:307) at gov.nasa.jpf.vm.VM.notifyInstructionExecuted(VM.java:808) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1922) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116) ---------------------- JPF error stack trace --------------------- gov.nasa.jpf.JPFListenerException: exception during instructionExecuted() notification at gov.nasa.jpf.vm.VM.notifyInstructionExecuted(VM.java:815) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1922) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116) Caused by: java.lang.RuntimeException: ## Error: BinaryNonLinearSolution solution: l 0 op % r 2 at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpression.solution(BinaryNonLinearIntegerExpression.java:73) at gov.nasa.jpf.symbc.numeric.BinaryNonLinearIntegerExpression.solution(BinaryNonLinearIntegerExpression.java:61) at gov.nasa.jpf.symbc.SymbolicListener.instructionExecuted(SymbolicListener.java:307) at gov.nasa.jpf.vm.VM.notifyInstructionExecuted(VM.java:808) ... 15 more,symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
GETDATAMASKBIT,java.lang.RuntimeException: ## Error Z3 at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3.and(ProblemZ3.java:971) at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:179) at gov.nasa.jpf.symbc.numeric.PCParser.createDPLinearIntegerConstraint(PCParser.java:730) at gov.nasa.jpf.symbc.numeric.PCParser.addConstraint(PCParser.java:1107) at gov.nasa.jpf.symbc.numeric.PCParser.parse(PCParser.java:1091) at gov.nasa.jpf.symbc.numeric.SymbolicConstraintsGeneral.isSatisfiable(SymbolicConstraintsGeneral.java:128) at gov.nasa.jpf.symbc.numeric.PathCondition.simplifyOld(PathCondition.java:393) at gov.nasa.jpf.symbc.numeric.PathCondition.simplify(PathCondition.java:340) at gov.nasa.jpf.symbc.bytecode.optimization.util.IFInstrSymbHelper.getNextInstructionAndSetPCChoice(IFInstrSymbHelper.java:490) at gov.nasa.jpf.symbc.bytecode.optimization.IFNE.execute(IFNE.java:67) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116),symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
GCDLONGADAPTEDFORINT,java.lang.RuntimeException: ## Error Z3 at gov.nasa.jpf.symbc.numeric.solvers.ProblemZ3.shiftL(ProblemZ3.java:1021) at gov.nasa.jpf.symbc.numeric.PCParser.getExpression(PCParser.java:224) at gov.nasa.jpf.symbc.numeric.PCParser.createDPLinearIntegerConstraint(PCParser.java:714) at gov.nasa.jpf.symbc.numeric.PCParser.addConstraint(PCParser.java:1107) at gov.nasa.jpf.symbc.numeric.PCParser.parse(PCParser.java:1091) at gov.nasa.jpf.symbc.numeric.SymbolicConstraintsGeneral.isSatisfiable(SymbolicConstraintsGeneral.java:128) at gov.nasa.jpf.symbc.numeric.PathCondition.simplifyOld(PathCondition.java:393) at gov.nasa.jpf.symbc.numeric.PathCondition.simplify(PathCondition.java:340) at gov.nasa.jpf.symbc.bytecode.optimization.util.IFInstrSymbHelper.getNextInstructionAndSetPCChoice(IFInstrSymbHelper.java:490) at gov.nasa.jpf.symbc.bytecode.optimization.IFEQ.execute(IFEQ.java:67) at gov.nasa.jpf.vm.ThreadInfo.executeInstruction(ThreadInfo.java:1908) at gov.nasa.jpf.vm.ThreadInfo.executeTransition(ThreadInfo.java:1859) at gov.nasa.jpf.vm.SystemState.executeNextTransition(SystemState.java:765) at gov.nasa.jpf.vm.VM.forward(VM.java:1722) at gov.nasa.jpf.search.Search.forward(Search.java:937) at gov.nasa.jpf.search.heuristic.HeuristicSearch.generateChildren(HeuristicSearch.java:112) at gov.nasa.jpf.search.heuristic.HeuristicSearch.search(HeuristicSearch.java:194) at gov.nasa.jpf.JPF.run(JPF.java:613) at gov.nasa.jpf.JPF.start(JPF.java:189) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:498) at gov.nasa.jpf.tool.Run.call(Run.java:80) at gov.nasa.jpf.tool.RunJPF.main(RunJPF.java:116),symbolic.min_int=-2147483648 symbolic.min_long=-9223372036854775808 symbolic.min_short=-32768 symbolic.min_byte=-128 symbolic.min_char=0 symbolic.max_int=2147483647 symbolic.max_long=9223372036854775807 symbolic.max_short=32767 symbolic.max_byte=127 symbolic.max_char=65535 symbolic.min_double=4.9E-324 symbolic.max_double=1.7976931348623157E308 JavaPathfinder core system v8.0 (rev 8798687bf4adcf77ddaf68c011ff364ca450c21e) - (C) 2005-2014 United States Government. All rights reserved.
