Class Name,stderr,stdout
GREATESTCOMMONDIVISOR,java.lang.RuntimeException: ## Error Z3,Property Violated (4 violations)
GETHIGHBIT,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
SFEXACT,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
BINROOT,ASSERTION VIOLATION,JavaPathfinder symbolic execution
CHECKDOUBLEPRECISE,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
VALIDATELENGTHS,java.lang.ClassCastException: gov.nasa.jpf.util.ObjectList$Node cannot be cast to gov.nasa.jpf.symbc.numeric.IntegerExpression,JavaPathfinder symbolic execution
GETDEVIANCEPART,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
GETWRAPPEDVALUE,java.lang.RuntimeException: ## Error: BinaryNonLinearSolution solution: l 0 op  %  r 2,Property Violated (2 violations)
LOG2,java.lang.RuntimeException: ## Error Z3,Property Violated (2 violations)
POWM1,Empty error,cannot load application class demo.Distance
GETDATAMASKBIT,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
GCDLONGADAPTEDFORINT,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
ISLATINCHAR,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
WRAPANGLETO180_DOUBLE,java.lang.RuntimeException: ## Error: SYMBOLIC DREM not supported,JavaPathfinder symbolic execution
VOLTAGE_TO_INTENSITY_SRGB,Empty error,cannot load application class demo.Distance
UNSIGNEDLEB128SIZE,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
GETROLLEDVALUE,java.lang.RuntimeException: ## Error: BinaryNonLinearSolution solution: l 1 op  %  r 2,Property Violated (4 violations)
CONVERTTEMPO,java.lang.AssertionError,"JPF exception, terminating"
SUBTRACTEXACT,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
GETCOMPONENTINDEX,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
GETSTANDARDBOLDERFONTWEIGHT,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
GETBOLDERFONTWEIGHT,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
BILINEARINTERPOLATE,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
GETLIGHTERFONTWEIGHT,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
SATURATION,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
VOCALTRACTCOMPENSATION,java.lang.RuntimeException: ## Error: Math.power not supported,JavaPathfinder symbolic execution
BINARYGCD,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
CEIL_LG2,java.lang.RuntimeException: ## Error Z3,Property Violated (2 violations)
HYPOT,java.lang.AssertionError,"JPF exception, terminating"
BRIGHTNESS,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
UNRANDOMIZE255STATE,java.lang.RuntimeException: ## Error: BinaryNonLinearSolution solution: l 319975062658 op  %  r 255,"JPF exception, terminating"
NEXTRAND,Empty error,cannot load application class demo.Distance
COMPARENUMBERS,Empty error,cannot load application class demo.Distance
TOINT64,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
HYPERGEOMETRIC,java.lang.RuntimeException: ## Error Z3,Property Violated (12 violations)
HSBTORGB,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
INVERSEERF,java.lang.RuntimeException: ## Error: Math.log not supported,JavaPathfinder symbolic execution
ISCASED,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
ALPHABLEND,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
GETMINRATING,Empty error,cannot load application class demo.Distance
ISVALIDTOKENCHAR,Empty error,cannot load application class demo.Distance
NUMBEROFTRAILINGZEROS,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
INTPOW,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
SMALLESTCHANGE,java.lang.UnsatisfiedLinkError: com.microsoft.z3.Native.INTERNALgetErrorMsgEx(JI)Ljava/lang/String;,JavaPathfinder symbolic execution
PREPARESETTINGS,java.lang.ClassCastException: gov.nasa.jpf.util.ObjectList$Node cannot be cast to gov.nasa.jpf.symbc.numeric.IntegerExpression,JavaPathfinder symbolic execution
CHECKFROMINDEXSIZE,java.lang.RuntimeException: ## Error Z3,JavaPathfinder symbolic execution
NEXTDOWN,java.lang.UnsatisfiedLinkError: com.microsoft.z3.Native.INTERNALgetErrorMsgEx(JI)Ljava/lang/String;,JavaPathfinder symbolic execution
